Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
1.49247339e+04  gen2perm3       1.14414000e-01  7.31950000e-02  1.56317600e+01  2.94397740e+01  2.38580000e-02  4.25657191e+02  
1.49441530e+04  gen7perm6       1.11442000e-01  6.48870000e-02  9.73099700e+00  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.49482406e+04  gen10perm3      1.11442000e-01  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.49482406e+04  gen10perm8      1.11442000e-01  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.49515743e+04  gen9perm10      1.11442000e-01  7.05740000e-02  1.05320920e+01  2.79497510e+01  2.38580000e-02  3.98454403e+02  
1.49565439e+04  gen2perm1       1.14414000e-01  7.54570000e-02  1.05320920e+01  2.80077280e+01  2.20570000e-02  4.21074725e+02  
1.50225585e+04  gen8perm2       1.06952000e-01  7.43100000e-02  1.05320920e+01  2.85917440e+01  2.38580000e-02  4.25657191e+02  
1.51238365e+04  gen10perm4      2.65660000e-02  6.87080000e-02  8.40301300e+00  2.80077280e+01  9.92178600e+00  3.98454403e+02  
1.51238366e+04  gen10perm7      2.65660000e-02  7.05740000e-02  8.40301300e+00  2.80077280e+01  9.92178600e+00  3.98454403e+02  
1.51336377e+04  gen3perm4       1.09026000e-01  3.60640000e-02  1.56317600e+01  2.80077280e+01  2.38580000e-02  1.48805212e+02  
1.51921050e+04  gen9perm9       2.65660000e-02  7.70390000e-02  8.40301300e+00  2.80077280e+01  9.13571400e+00  4.25657191e+02  
1.52345326e+04  gen8perm1       2.65660000e-02  7.68710000e-02  8.80556500e+00  4.66420000e-02  9.13571400e+00  4.25657191e+02  
1.52845876e+04  gen7perm5       2.65660000e-02  7.68710000e-02  9.33046600e+00  2.80077280e+01  9.13571400e+00  4.25657191e+02  
1.53731994e+04  gen3perm3       2.65660000e-02  7.05740000e-02  1.05320920e+01  4.90440000e-02  9.17729400e+00  4.57225442e+02  
1.55083513e+04  gen2perm4       2.65660000e-02  3.60640000e-02  1.05320920e+01  4.90440000e-02  9.17729400e+00  1.40644520e+02  
1.57349437e+04  gen2perm2       2.65660000e-02  3.60640000e-02  1.56317600e+01  4.90440000e-02  9.17729400e+00  1.67266987e+02  
1.57956237e+04  gen5perm9       2.65660000e-02  7.05740000e-02  1.57372670e+01  2.80077280e+01  8.46460100e+00  1.41746274e+02  
1.58312161e+04  gen1perm4       1.14414000e-01  3.60640000e-02  1.56317600e+01  4.90440000e-02  9.17729400e+00  1.54828140e+02  
1.60989848e+04  gen1perm7       3.70020000e-02  1.52118000e-01  3.60197400e+01  1.64300000e-03  2.71900000e-03  1.22830000e-02  
1.64213712e+04  gen4perm10      2.87170000e-02  7.05740000e-02  1.56317600e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64393307e+04  gen1perm3       1.87119188e+02  2.57432400e+00  1.34185100e+00  1.74290000e-02  1.63174367e+02  4.19562720e+01  
1.64525591e+04  gen10perm10     2.67230000e-02  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64529918e+04  gen9perm6       2.65660000e-02  7.05740000e-02  9.33046600e+00  2.80077280e+01  2.38580000e-02  4.66285359e+02  
1.64539741e+04  gen6perm4       2.65660000e-02  7.05740000e-02  9.33046600e+00  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64539741e+04  gen7perm2       2.65660000e-02  7.05740000e-02  9.33046600e+00  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64542078e+04  gen6perm2       2.65660000e-02  7.05740000e-02  9.50472700e+00  4.90210000e-02  2.38580000e-02  4.25657191e+02  
1.64546158e+04  gen8perm6       2.65660000e-02  7.68710000e-02  9.81121900e+00  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64555639e+04  gen5perm5       2.65660000e-02  6.40850000e-02  1.05320920e+01  2.61676200e+01  2.38580000e-02  4.25657191e+02  
1.64555639e+04  gen8perm10      2.65660000e-02  7.05740000e-02  1.05320920e+01  2.61197130e+01  2.38580000e-02  4.25657191e+02  
1.64555640e+04  gen4perm2       2.65660000e-02  7.05740000e-02  1.05320920e+01  2.92060110e+01  2.38580000e-02  4.25657191e+02  
1.64555640e+04  gen2perm10      2.65660000e-02  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
