Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
6.45106412e+03  gen10perm7      1.06664000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.48541282e+02  5.62632000e-01  
6.82523589e+03  gen10perm6      1.18336000e-01  5.46433830e+01  1.95320000e-02  1.77900000e-03  5.08163858e+02  6.01761000e-01  
6.94711620e+03  gen10perm1      1.05493000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.01761000e-01  
7.02264987e+03  gen9perm7       1.06664000e-01  6.00193900e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.01761000e-01  
7.02264987e+03  gen10perm8      1.06664000e-01  6.00193900e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.01761000e-01  
7.02467216e+03  gen10perm3      1.06664000e-01  6.00193900e+01  1.66180000e-02  1.89200000e-03  5.08163858e+02  6.01761000e-01  
7.02899422e+03  gen9perm4       1.06664000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.01761000e-01  
7.02947732e+03  gen10perm9      1.06664000e-01  5.42335160e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.01761000e-01  
7.03404495e+03  gen10perm5      1.06664000e-01  5.46433830e+01  1.66180000e-02  2.00300000e-03  5.08163858e+02  6.01761000e-01  
7.09349228e+03  gen9perm10      1.02822000e-01  5.46433830e+01  1.66180000e-02  1.86200000e-03  5.31605569e+02  6.25808000e-01  
7.13029469e+03  gen10perm10     1.06664000e-01  5.63106850e+01  1.72810000e-02  1.83400000e-03  5.08163858e+02  6.25808000e-01  
7.28423498e+03  gen10perm2      1.10455000e-01  6.00193900e+01  1.66180000e-02  1.95300000e-03  5.08163858e+02  6.01761000e-01  
7.35147029e+03  gen9perm1       1.18336000e-01  5.46433830e+01  1.78800000e-02  1.77900000e-03  5.08163858e+02  6.01761000e-01  
7.36333790e+03  gen8perm3       1.06664000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.25808000e-01  
7.40918037e+03  gen10perm4      1.07333000e-01  5.47975040e+01  1.66180000e-02  1.83400000e-03  5.12669525e+02  6.25808000e-01  
7.57105931e+03  gen9perm9       1.18336000e-01  5.46433830e+01  1.72360000e-02  1.83400000e-03  5.08163858e+02  6.01761000e-01  
7.76609842e+03  gen9perm6       1.06664000e-01  5.46433830e+01  1.66180000e-02  1.86200000e-03  5.31605569e+02  6.56259000e-01  
7.78135584e+03  gen8perm8       1.18336000e-01  6.00193900e+01  1.66180000e-02  1.83400000e-03  5.31605569e+02  6.01761000e-01  
7.78721909e+03  gen6perm3       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.01761000e-01  
7.78721909e+03  gen7perm2       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.01761000e-01  
7.78721909e+03  gen8perm1       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.01761000e-01  
7.78760111e+03  gen6perm7       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.31605569e+02  6.01761000e-01  
7.78811889e+03  gen7perm10      1.18336000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.67063291e+02  6.01761000e-01  
7.78848832e+03  gen8perm9       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.86200000e-03  5.31605569e+02  6.01761000e-01  
7.78879862e+03  gen9perm2       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.87200000e-03  5.31605569e+02  6.01761000e-01  
7.83194070e+03  gen6perm6       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.48320000e-01  2.02856011e+02  6.01761000e-01  
7.83194070e+03  gen7perm6       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.48320000e-01  2.02856011e+02  6.01761000e-01  
7.83304578e+03  gen7perm3       1.18336000e-01  5.13630060e+01  1.66180000e-02  1.48320000e-01  2.10812949e+02  6.01761000e-01  
7.83304578e+03  gen8perm5       1.18336000e-01  5.13630060e+01  1.66180000e-02  1.48320000e-01  2.10812949e+02  6.01761000e-01  
7.83363886e+03  gen7perm1       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.48320000e-01  2.20267440e+02  6.01761000e-01  
7.83363886e+03  gen8perm2       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.48320000e-01  2.20267440e+02  6.01761000e-01  
7.83363886e+03  gen8perm7       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.48320000e-01  2.20267440e+02  6.01761000e-01  
7.86753165e+03  gen8perm10      1.19686000e-01  5.46433830e+01  1.66180000e-02  1.80300000e-03  5.08163858e+02  6.01761000e-01  
7.86892440e+03  gen7perm5       1.19686000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.31605569e+02  6.01761000e-01  
7.98902526e+03  gen7perm7       1.21779000e-01  5.46433830e+01  1.66180000e-02  1.74000000e-03  5.08163858e+02  6.01761000e-01  
8.07237155e+03  gen8perm4       1.11150000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.67063291e+02  6.56984000e-01  
8.08106508e+03  gen5perm9       1.30787000e-01  5.46433830e+01  1.66180000e-02  1.74000000e-03  5.08163858e+02  5.72704000e-01  
8.11419538e+03  gen9perm5       1.18336000e-01  5.69720100e+01  1.66180000e-02  1.89700000e-03  5.29596525e+02  6.25808000e-01  
8.11488057e+03  gen9perm8       1.18336000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.31605569e+02  6.25808000e-01  
8.17054996e+03  gen5perm1       1.18336000e-01  5.46433830e+01  1.56900000e-02  1.48320000e-01  2.02856011e+02  6.01761000e-01  
8.18405911e+03  gen6perm9       1.18336000e-01  5.13630060e+01  1.56900000e-02  1.48320000e-01  5.31605569e+02  6.01761000e-01  
8.20786732e+03  gen8perm6       1.18336000e-01  5.32957910e+01  1.66180000e-02  1.48320000e-01  2.02856011e+02  6.29555000e-01  
8.24917179e+03  gen7perm4       1.19427000e-01  5.46433830e+01  1.56900000e-02  1.48320000e-01  5.27429545e+02  6.01761000e-01  
8.43147789e+03  gen9perm3       1.23787000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.25808000e-01  
8.44992236e+03  gen6perm1       1.30787000e-01  5.82856890e+01  1.67180000e-02  1.74000000e-03  5.08163858e+02  6.01761000e-01  
8.45425415e+03  gen4perm2       1.30787000e-01  5.46433830e+01  1.67180000e-02  1.74000000e-03  5.08163858e+02  6.01761000e-01  
8.45425415e+03  gen7perm9       1.30787000e-01  5.46433830e+01  1.67180000e-02  1.74000000e-03  5.08163858e+02  6.01761000e-01  
8.48004470e+03  gen6perm10      1.30787000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  2.02856011e+02  6.01761000e-01  
8.49237643e+03  gen5perm2       1.29661000e-01  1.57431770e+01  1.66180000e-02  1.42323000e-01  5.16686533e+02  6.01761000e-01  
8.49256378e+03  gen3perm6       1.30787000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.08163858e+02  6.01761000e-01  
8.49293085e+03  gen2perm3       1.30787000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.31605569e+02  6.01761000e-01  
8.49293085e+03  gen3perm2       1.30787000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.31605569e+02  6.01761000e-01  
8.51359088e+03  gen5perm10      1.30787000e-01  4.92683570e+01  1.67180000e-02  1.42323000e-01  4.95939629e+02  6.01761000e-01  
8.53614588e+03  gen4perm8       1.30787000e-01  5.46433830e+01  1.66180000e-02  1.42323000e-01  2.02856011e+02  6.01761000e-01  
8.53614588e+03  gen5perm3       1.30787000e-01  5.46433830e+01  1.66180000e-02  1.42323000e-01  2.02856011e+02  6.01761000e-01  
8.54415893e+03  gen5perm7       1.30787000e-01  5.46433830e+01  1.66180000e-02  1.94200000e-02  5.31605569e+02  6.01761000e-01  
8.54418548e+03  gen3perm3       1.30787000e-01  5.44897450e+01  1.66180000e-02  1.94200000e-02  5.31605569e+02  6.01761000e-01  
8.54418548e+03  gen4perm9       1.30787000e-01  5.44897450e+01  1.66180000e-02  1.94200000e-02  5.31605569e+02  6.01761000e-01  
8.54418548e+03  gen5perm4       1.30787000e-01  5.44897450e+01  1.66180000e-02  1.94200000e-02  5.31605569e+02  6.01761000e-01  
8.54432524e+03  gen5perm5       1.30787000e-01  5.44897450e+01  1.66180000e-02  1.94200000e-02  5.41184185e+02  6.01761000e-01  
8.54829320e+03  gen4perm6       1.30787000e-01  5.46433830e+01  1.66180000e-02  1.42323000e-01  4.95939629e+02  6.01761000e-01  
8.55228552e+03  gen4perm3       1.30787000e-01  1.57431770e+01  1.66180000e-02  1.42323000e-01  5.31605569e+02  6.01761000e-01  
8.57535928e+03  gen6perm2       1.30787000e-01  5.46433830e+01  1.66180000e-02  1.74000000e-03  5.08163858e+02  6.08127000e-01  
8.57600362e+03  gen7perm8       1.30787000e-01  5.46433830e+01  1.59300000e-02  1.48320000e-01  2.02856011e+02  5.86647000e-01  
8.65586728e+03  gen4perm10      1.33924000e-01  5.46433830e+01  1.66180000e-02  1.83400000e-03  5.31605569e+02  6.01761000e-01  
8.70388963e+03  gen5perm8       1.35630000e-01  5.44897450e+01  1.67180000e-02  1.74000000e-03  5.08163858e+02  6.01761000e-01  
8.73794094e+03  gen5perm6       1.30078000e-01  5.46433830e+01  1.66180000e-02  1.42323000e-01  2.02856011e+02  6.19759000e-01  
