Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
2.00710029e+03  gen6perm2       4.38321500e+00  2.24812800e+00  1.97857400e+00  4.86838034e+02  9.76468340e+01  3.06167400e+00  
2.00710029e+03  gen7perm10      4.38321500e+00  2.24812800e+00  1.97857400e+00  4.86838034e+02  9.76468340e+01  3.06167400e+00  
2.00724017e+03  gen7perm2       4.38321500e+00  2.24812800e+00  1.97857400e+00  4.86838034e+02  9.20116200e+01  3.06167400e+00  
2.01464829e+03  gen7perm7       4.16349500e+00  3.31700000e-03  1.97857400e+00  4.86838034e+02  9.76468340e+01  3.06167400e+00  
2.03064650e+03  gen7perm5       4.38321500e+00  3.64800000e-03  1.92571800e+00  4.86838034e+02  9.76468340e+01  2.87642000e+00  
2.06220055e+03  gen7perm3       4.55124800e+00  3.55100000e-03  1.98365800e+00  4.39068832e+02  9.76468340e+01  2.87642000e+00  
2.07272539e+03  gen6perm10      4.38321500e+00  3.31700000e-03  1.93951400e+00  4.86838034e+02  1.00712086e+02  2.82884300e+00  
2.07280473e+03  gen7perm8       4.38321500e+00  2.24812800e+00  1.93951400e+00  4.39822715e+02  1.00712086e+02  2.82884300e+00  
2.08077782e+03  gen6perm5       4.38321500e+00  3.55100000e-03  1.97857400e+00  4.86838034e+02  9.76468340e+01  2.87642000e+00  
2.08077782e+03  gen7perm9       4.38321500e+00  3.55100000e-03  1.97857400e+00  4.86838034e+02  9.76468340e+01  2.87642000e+00  
2.12357290e+03  gen7perm4       4.38321500e+00  3.42500000e-03  1.97857400e+00  4.86838034e+02  1.01684354e+02  2.82884300e+00  
2.12422307e+03  gen6perm4       4.38321500e+00  3.64800000e-03  1.97857400e+00  4.86838034e+02  9.76468340e+01  2.82884300e+00  
2.12422309e+03  gen5perm4       4.38321500e+00  3.42500000e-03  1.97857400e+00  4.86838034e+02  9.76468340e+01  2.82884300e+00  
2.12584266e+03  gen7perm6       4.38321500e+00  3.63600000e-03  1.97857400e+00  4.86838034e+02  8.88760570e+01  2.82884300e+00  
2.13176286e+03  gen5perm3       4.38321500e+00  3.31700000e-03  1.98365800e+00  4.86838034e+02  9.76468340e+01  2.82884300e+00  
2.13176287e+03  gen6perm9       4.38321500e+00  3.42500000e-03  1.98365800e+00  4.39068832e+02  9.76468340e+01  2.82884300e+00  
2.13184659e+03  gen7perm1       4.38321500e+00  2.24812800e+00  1.98365800e+00  4.52725843e+02  9.76468340e+01  2.82884300e+00  
2.13287579e+03  gen6perm7       4.38321500e+00  2.24812800e+00  1.98365800e+00  4.52725843e+02  9.20116200e+01  2.82884300e+00  
2.13837734e+03  gen6perm8       4.38321500e+00  3.31700000e-03  2.15064700e+00  1.20836010e+01  9.76468340e+01  3.06167400e+00  
2.13959591e+03  gen5perm8       4.38321500e+00  2.24812800e+00  2.15064700e+00  1.20836010e+01  9.20116200e+01  3.06167400e+00  
2.15124720e+03  gen6perm6       4.38321500e+00  2.24812800e+00  1.94184400e+00  1.20836010e+01  9.20116200e+01  3.27950600e+00  
2.17029798e+03  gen5perm7       4.06976500e+00  2.24812800e+00  1.96481900e+00  1.20836010e+01  9.76468340e+01  2.82884300e+00  
2.34663182e+03  gen6perm1       4.80173200e+00  3.42500000e-03  2.15064700e+00  1.24235030e+01  9.20116200e+01  2.82884300e+00  
2.35639995e+03  gen6perm3       4.38321500e+00  3.31700000e-03  2.10334400e+00  4.86838034e+02  9.76468340e+01  2.82884300e+00  
2.46417295e+03  gen2perm9       4.38321500e+00  3.42500000e-03  2.15064700e+00  4.86838034e+02  9.76468340e+01  2.82884300e+00  
2.46417295e+03  gen4perm2       4.38321500e+00  3.42500000e-03  2.15064700e+00  4.86838034e+02  9.76468340e+01  2.82884300e+00  
2.46417295e+03  gen4perm6       4.38321500e+00  3.42500000e-03  2.15064700e+00  4.86838034e+02  9.76468340e+01  2.82884300e+00  
2.46417297e+03  gen4perm3       4.38321500e+00  3.31700000e-03  2.15064700e+00  4.86838034e+02  9.76468340e+01  2.82884300e+00  
2.46417297e+03  gen5perm10      4.38321500e+00  3.42500000e-03  2.15064700e+00  1.20836010e+01  9.76468340e+01  2.82884300e+00  
2.46417297e+03  gen5perm1       4.38321500e+00  3.46000000e-03  2.15064700e+00  4.86838034e+02  9.76468340e+01  2.82884300e+00  
