Fit             Iteration       f1_ZAKtoMKK7P   f3_MKK7byZAK    k3_JNKbyMKK4    k3_JNKbyMKK7    k3_MKK4byZAK    k3_MKK7byJNK    k3_MKK7byZAK    scale_ppJNK     scale_ppMKK4    scale_ppMKK7    scale_t         
1.25282200e+00  1417            1.72627010e+01  6.20280530e+01  6.07465000e-01  5.26601000e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25283000e+00  1301            2.07566000e+01  6.20280530e+01  6.10071000e-01  4.95097600e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  1.01006500e+00  2.29400800e+00  
1.25284900e+00  1397            2.07566000e+01  6.20280530e+01  6.09666000e-01  4.95097600e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  1.01006500e+00  2.29400800e+00  
1.25286900e+00  1269            1.91666450e+01  6.20280530e+01  6.10071000e-01  5.09696100e+00  7.07976000e-01  1.04455700e+00  1.31360000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25288200e+00  1404            1.91666450e+01  6.20280530e+01  6.07465000e-01  4.95097600e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  1.01006500e+00  2.29400800e+00  
1.25293600e+00  1469            1.91666450e+01  6.18352150e+01  6.10071000e-01  5.09696100e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  1.01006500e+00  2.24832500e+00  
1.25294600e+00  1439            1.72627010e+01  6.20280530e+01  6.10071000e-01  5.13132500e+00  7.07976000e-01  1.02181200e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.26613500e+00  
1.25295700e+00  1370            1.72627010e+01  6.32356530e+01  6.09666000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23011200e+00  
1.25299900e+00  1441            2.17709200e+01  6.32356530e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  1.01006500e+00  2.23763000e+00  
1.25304400e+00  1365            2.04936650e+01  6.18352150e+01  6.15785000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25309200e+00  1396            1.72627010e+01  6.20280530e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  1.03075100e+00  2.23763000e+00  
1.25309200e+00  1425            1.72627010e+01  6.20280530e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  1.03075100e+00  2.23763000e+00  
1.25310500e+00  1463            2.17709200e+01  6.18352150e+01  6.10071000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25312700e+00  1442            2.07566000e+01  6.18352150e+01  6.10071000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25314000e+00  1406            1.77829600e+01  6.18352150e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.29400800e+00  
1.25314200e+00  1432            2.07566000e+01  6.20280530e+01  6.09209000e-01  4.95097600e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.29400800e+00  
1.25315800e+00  1338            1.72627010e+01  6.20280530e+01  6.07465000e-01  4.83635600e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25323100e+00  1233            1.72627010e+01  6.18352150e+01  6.10071000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25323100e+00  1327            1.72627010e+01  6.18352150e+01  6.10071000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25325200e+00  1451            1.72627010e+01  6.32356530e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.60725000e-01  1.03012100e+00  9.90177000e-01  2.26613500e+00  
1.25331500e+00  1493            2.17709200e+01  6.20280530e+01  6.09666000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.23763000e+00  
1.25333300e+00  1381            1.91666450e+01  6.32356530e+01  6.10071000e-01  5.13132500e+00  7.07976000e-01  9.87738000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.83636000e-01  2.22745600e+00  
1.25333400e+00  1329            1.91666450e+01  6.32356530e+01  6.09666000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.60725000e-01  1.02659300e+00  9.90177000e-01  2.26613500e+00  
1.25334300e+00  1375            1.72627010e+01  6.13392630e+01  6.09666000e-01  5.26601000e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.29400800e+00  
1.25334700e+00  1477            1.91666450e+01  6.13392630e+01  6.07465000e-01  5.26601000e+00  7.07976000e-01  1.04455700e+00  1.31360000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.24832500e+00  
1.25341400e+00  1307            2.17709200e+01  6.32356530e+01  6.07465000e-01  4.83635600e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25341400e+00  1474            2.17709200e+01  6.32356530e+01  6.07465000e-01  4.83635600e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25343900e+00  1300            2.07566000e+01  6.32356530e+01  6.09666000e-01  5.13132500e+00  6.85786000e-01  1.02391900e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.23763000e+00  
1.25344400e+00  1384            1.72627010e+01  6.20280530e+01  6.10071000e-01  5.13132500e+00  7.07054000e-01  9.99011000e-01  1.27430000e-02  8.34690000e-01  1.03565800e+00  9.90177000e-01  2.26613500e+00  
1.25346000e+00  1411            1.72627010e+01  6.43999380e+01  6.01325000e-01  5.04412500e+00  7.07976000e-01  1.11126200e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  1.01006500e+00  2.23763000e+00  
1.25346200e+00  1422            1.72627010e+01  6.32356530e+01  6.07465000e-01  5.09696100e+00  7.07976000e-01  1.11126200e+00  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.83636000e-01  2.21616700e+00  
1.25348800e+00  1475            1.72627010e+01  6.20280530e+01  6.10071000e-01  5.09696100e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.23763000e+00  
1.25356100e+00  1428            1.72627010e+01  6.18352150e+01  6.10071000e-01  5.13132500e+00  6.85926000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.34255000e+00  
1.25358000e+00  1443            1.86999360e+01  6.32356530e+01  6.09666000e-01  4.95097600e+00  6.85786000e-01  9.48353000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.29400800e+00  
1.25359300e+00  1492            1.72627010e+01  6.20280530e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25367600e+00  1456            1.72627010e+01  6.13392630e+01  6.10071000e-01  5.33842300e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25368400e+00  1497            1.84836560e+01  6.43999380e+01  6.09666000e-01  5.04412500e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.44264000e-01  2.29400800e+00  
1.25368900e+00  1326            1.72627010e+01  6.13392630e+01  6.10071000e-01  5.33842300e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.33143000e-01  1.02659300e+00  1.01006500e+00  2.23763000e+00  
1.25372500e+00  1339            1.91666450e+01  6.18352150e+01  6.37210000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  1.01006500e+00  2.24832500e+00  
1.25374200e+00  1433            2.07566000e+01  6.32356530e+01  6.10071000e-01  5.33842300e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.33143000e-01  1.02659300e+00  1.01006500e+00  2.29400800e+00  
1.25380000e+00  1059            1.77829600e+01  6.74946890e+01  6.10071000e-01  5.13132500e+00  6.79510000e-01  9.99011000e-01  1.22210000e-02  8.23202000e-01  1.03565800e+00  9.92121000e-01  2.29400800e+00  
1.25385800e+00  1241            1.77829600e+01  6.13392630e+01  6.10071000e-01  5.26601000e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.23763000e+00  
1.25390800e+00  1265            1.91666450e+01  6.32356530e+01  6.07465000e-01  5.39785900e+00  7.07976000e-01  1.00657400e+00  1.27430000e-02  8.23202000e-01  1.02659300e+00  9.83636000e-01  2.24832500e+00  
1.25393500e+00  1321            1.63010000e+01  6.44430740e+01  6.04997000e-01  5.18271200e+00  6.89147000e-01  9.04539000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.29758700e+00  
1.25394300e+00  1387            1.87936410e+01  6.32356530e+01  6.07465000e-01  5.39785900e+00  7.07976000e-01  1.00657400e+00  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.83636000e-01  2.24832500e+00  
1.25396100e+00  1488            1.72627010e+01  6.20280530e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  1.02342300e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.29400800e+00  
1.25403100e+00  1200            1.72627010e+01  6.13392630e+01  6.07465000e-01  5.26601000e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25404300e+00  1006            1.91666450e+01  6.32356530e+01  6.10071000e-01  5.09696100e+00  7.07976000e-01  9.99011000e-01  1.31360000e-02  8.23202000e-01  1.02659300e+00  9.83636000e-01  2.24832500e+00  
1.25406400e+00  1380            1.91666450e+01  6.13392630e+01  6.07465000e-01  5.39785900e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.83636000e-01  2.24832500e+00  
1.25406600e+00  1471            1.77829600e+01  6.10752210e+01  6.10071000e-01  5.13132500e+00  7.07054000e-01  9.99011000e-01  1.27430000e-02  8.34690000e-01  1.03565800e+00  9.90177000e-01  2.29400800e+00  
1.25410900e+00  1388            1.72627010e+01  6.20280530e+01  6.09666000e-01  5.13132500e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.74954000e-01  2.21103900e+00  
1.25414700e+00  1249            1.91666450e+01  6.32356530e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  9.99011000e-01  1.31360000e-02  8.74999000e-01  1.02659300e+00  9.83636000e-01  2.24832500e+00  
1.25416900e+00  1313            1.77829600e+01  6.74946890e+01  6.10071000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.22210000e-02  8.23202000e-01  1.02659300e+00  9.94168000e-01  2.24832500e+00  
1.25421200e+00  1308            1.77829600e+01  6.74946890e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  9.99011000e-01  1.22210000e-02  8.74999000e-01  1.02659300e+00  9.94168000e-01  2.24832500e+00  
1.25423100e+00  1082            1.77829600e+01  6.18352150e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.74999000e-01  1.02659300e+00  9.94168000e-01  2.24832500e+00  
1.25423100e+00  1259            1.91666450e+01  6.18352150e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.39461000e-01  1.02659300e+00  1.01006500e+00  2.24832500e+00  
1.25423200e+00  1341            2.07566000e+01  6.32356530e+01  6.07465000e-01  4.74417800e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.50975000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25425200e+00  1253            1.72627010e+01  6.20280530e+01  6.09666000e-01  4.95097600e+00  7.07976000e-01  1.11126200e+00  1.27430000e-02  8.23202000e-01  1.03565800e+00  1.01006500e+00  2.23763000e+00  
1.25425700e+00  1215            1.91666450e+01  5.97364240e+01  6.37210000e-01  5.62744700e+00  6.76041000e-01  9.99011000e-01  1.27430000e-02  8.34690000e-01  1.02659300e+00  1.01006500e+00  2.26613500e+00  
1.25428200e+00  1354            1.91666450e+01  6.32356530e+01  6.07465000e-01  5.09696100e+00  6.95027000e-01  1.00657400e+00  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.83636000e-01  2.26613500e+00  
1.25432300e+00  1324            1.72627010e+01  6.32356530e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.23202000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25435400e+00  1454            1.72627010e+01  6.18352150e+01  6.10071000e-01  5.09696100e+00  7.07976000e-01  9.14796000e-01  1.38040000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25437100e+00  1204            1.91666450e+01  6.36438810e+01  6.07465000e-01  5.09696100e+00  7.07976000e-01  1.00657400e+00  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.90177000e-01  2.26613500e+00  
1.25439100e+00  1247            1.91666450e+01  6.36438810e+01  6.07465000e-01  5.26601000e+00  7.07976000e-01  1.00657400e+00  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.90177000e-01  2.26613500e+00  
1.25440100e+00  1340            1.91666450e+01  6.36438810e+01  6.10071000e-01  5.09696100e+00  7.07976000e-01  9.99011000e-01  1.31360000e-02  8.23202000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25441000e+00  1295            1.91666450e+01  6.32356530e+01  6.10071000e-01  5.09696100e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.23202000e-01  1.02659300e+00  9.83636000e-01  2.26613500e+00  
1.25441400e+00  1091            1.91666450e+01  6.32356530e+01  6.10071000e-01  5.32150100e+00  7.07976000e-01  9.99011000e-01  1.31360000e-02  8.23202000e-01  1.02659300e+00  9.83636000e-01  2.24832500e+00  
1.25441700e+00  1112            1.91666450e+01  6.32356530e+01  6.10071000e-01  5.09696100e+00  6.76041000e-01  9.99011000e-01  1.27430000e-02  8.34690000e-01  1.05081700e+00  1.01588300e+00  2.26613500e+00  
1.25441900e+00  1494            1.72627010e+01  6.32356530e+01  6.09666000e-01  5.13132500e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03012100e+00  1.01155700e+00  2.23763000e+00  
1.25446300e+00  1273            1.93667440e+01  6.18352150e+01  6.07465000e-01  5.05063100e+00  7.09565000e-01  9.99011000e-01  1.27430000e-02  8.74999000e-01  1.03565800e+00  9.90177000e-01  2.24832500e+00  
1.25449700e+00  1268            1.84835360e+01  6.32356530e+01  6.09666000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.83636000e-01  2.24432200e+00  
1.25449700e+00  1325            1.91046010e+01  6.48361050e+01  6.07465000e-01  5.32150100e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.24832500e+00  
1.25452500e+00  1203            1.75798710e+01  6.32356530e+01  6.37210000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.23202000e-01  1.02659300e+00  1.01006500e+00  2.23763000e+00  
1.25452500e+00  1358            1.75798710e+01  6.32356530e+01  6.37210000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.23202000e-01  1.02659300e+00  1.01006500e+00  2.23763000e+00  
1.25453700e+00  1429            1.72627010e+01  6.20280530e+01  6.09666000e-01  4.81207700e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.36243000e-01  1.03565800e+00  1.01006500e+00  2.23763000e+00  
1.25459500e+00  1427            1.72627010e+01  6.18352150e+01  6.37210000e-01  5.09696100e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.23202000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25459800e+00  1363            1.93667440e+01  6.20280530e+01  6.09666000e-01  5.13132500e+00  7.07054000e-01  1.04455700e+00  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25462100e+00  1408            1.77829600e+01  6.18352150e+01  6.10071000e-01  5.13132500e+00  7.07976000e-01  1.06007800e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.29273300e+00  
1.25464300e+00  1164            1.77829600e+01  6.18352150e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.74999000e-01  1.03565800e+00  1.03075100e+00  2.24832500e+00  
1.25470100e+00  1483            1.63870520e+01  6.13392630e+01  6.10071000e-01  5.26601000e+00  7.07976000e-01  1.01433100e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.29400800e+00  
1.25470500e+00  1409            1.72627010e+01  6.32356530e+01  6.07465000e-01  5.13132500e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.23763000e+00  
1.25472300e+00  1060            1.72627010e+01  6.32356530e+01  6.07465000e-01  5.13132500e+00  7.29300000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25473200e+00  1352            1.77829600e+01  6.74946890e+01  6.07465000e-01  5.09696100e+00  6.74720000e-01  1.00657400e+00  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.92121000e-01  2.26613500e+00  
1.25473300e+00  1366            1.93667440e+01  6.20280530e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25475600e+00  1398            1.77829600e+01  6.18352150e+01  6.11268000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.74999000e-01  1.03565800e+00  9.90177000e-01  2.24832500e+00  
1.25477100e+00  1286            1.91666450e+01  6.32356530e+01  6.10071000e-01  5.26601000e+00  6.76041000e-01  9.99011000e-01  1.27430000e-02  8.34690000e-01  1.05081700e+00  1.01588300e+00  2.34406100e+00  
1.25477400e+00  1276            1.91666450e+01  6.74946890e+01  5.81737000e-01  4.95097600e+00  7.07976000e-01  9.99011000e-01  1.31360000e-02  8.23202000e-01  1.03565800e+00  9.56598000e-01  2.24832500e+00  
1.25478200e+00  1017            1.93667440e+01  6.32356530e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25478700e+00  1291            1.91666450e+01  6.48361050e+01  6.10071000e-01  5.32150100e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.33143000e-01  1.02659300e+00  1.01006500e+00  2.24832500e+00  
1.25483400e+00  1400            1.77829600e+01  5.97364240e+01  6.37210000e-01  5.55957000e+00  6.79510000e-01  9.99011000e-01  1.27430000e-02  8.34690000e-01  1.02659300e+00  9.92121000e-01  2.29400800e+00  
1.25486400e+00  1372            1.91666450e+01  6.18352150e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  9.99011000e-01  1.31360000e-02  8.23202000e-01  1.02659300e+00  9.83636000e-01  2.24832500e+00  
1.25487800e+00  1401            1.75798710e+01  6.32356530e+01  6.37210000e-01  4.83635600e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.23202000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25488500e+00  1392            1.91666450e+01  6.36438810e+01  6.10071000e-01  5.39785900e+00  7.07976000e-01  1.00657400e+00  1.22210000e-02  8.23202000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25489300e+00  1320            2.00565840e+01  6.20280530e+01  6.10071000e-01  5.13834300e+00  7.07976000e-01  9.99011000e-01  1.31360000e-02  8.74999000e-01  1.02659300e+00  9.94168000e-01  2.24832500e+00  
