Fit             Iteration       K1              K2              alpha           
3.21885000e-01  gen111perm15    5.53780000e-01  1.12263486e+03  5.48794000e-01  
3.26681000e-01  gen85perm15     6.15072000e-01  1.27347163e+03  7.46745000e-01  
3.29878000e-01  gen50perm15     5.69800000e-01  1.26095991e+03  7.30676000e-01  
3.34490000e-01  gen27perm15     6.27317000e-01  1.25010559e+03  7.20127000e-01  
3.37838000e-01  gen88perm15     6.15072000e-01  1.27347163e+03  7.46745000e-01  
3.43789000e-01  gen83perm39     6.15072000e-01  1.27347163e+03  7.46745000e-01  
3.44309000e-01  gen6perm15      9.91236000e-01  1.43381420e+03  1.33205000e+00  
3.46987000e-01  gen103perm39    6.17331000e-01  1.18707035e+03  5.48794000e-01  
3.51029000e-01  gen156perm39    6.06370000e-01  8.55397174e+02  5.14155000e-01  
3.51241000e-01  gen56perm15     5.69800000e-01  1.26539043e+03  8.38263000e-01  
3.55289000e-01  gen176perm15    5.11058000e-01  9.65797719e+02  3.87936000e-01  
3.57471000e-01  gen17perm15     7.65749000e-01  1.31874103e+03  8.15367000e-01  
3.59468000e-01  gen59perm15     5.69800000e-01  1.26593909e+03  9.91791000e-01  
3.61368000e-01  gen142perm15    6.41348000e-01  9.94842161e+02  4.42640000e-01  
3.62509000e-01  gen41perm15     5.96680000e-01  1.25010559e+03  7.20127000e-01  
3.63264000e-01  gen35perm39     5.96680000e-01  1.25010559e+03  7.20127000e-01  
3.63518000e-01  gen96perm39     6.17331000e-01  1.29793726e+03  5.48794000e-01  
3.64200000e-01  gen90perm15     6.68198000e-01  1.31799886e+03  7.46745000e-01  
3.64237000e-01  gen6perm39      1.38388000e-01  1.57973638e+02  8.69897000e-01  
3.65634000e-01  gen161perm15    6.61794000e-01  8.55397174e+02  5.17619000e-01  
3.66633000e-01  gen41perm39     5.96680000e-01  1.34911039e+03  7.20127000e-01  
3.67740000e-01  gen38perm15     5.96680000e-01  1.25010559e+03  7.20127000e-01  
3.68962000e-01  gen97perm15     6.17331000e-01  1.18707035e+03  5.48794000e-01  
3.70694000e-01  gen89perm39     6.15072000e-01  1.27347163e+03  7.46745000e-01  
3.71496000e-01  gen169perm15    5.11058000e-01  9.65797719e+02  5.17619000e-01  
3.72111000e-01  gen168perm15    5.11058000e-01  9.65797719e+02  5.17619000e-01  
3.73434000e-01  gen103perm15    6.17331000e-01  1.18707035e+03  5.48794000e-01  
3.73735000e-01  gen42perm39     5.96680000e-01  1.25010559e+03  7.20127000e-01  
3.73740000e-01  gen22perm39     6.95311000e-01  1.31874103e+03  7.20127000e-01  
3.73838000e-01  gen81perm15     5.31105000e-01  1.08015829e+03  7.95325000e-01  
3.75135000e-01  gen140perm39    6.41348000e-01  1.19303750e+03  4.42640000e-01  
3.75270000e-01  gen14perm15     7.65749000e-01  1.43381420e+03  9.27741000e-01  
