Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.77607659e+03  1796            2.07018820e+01  -3.90323800e+00 5.41149280e+01  7.10095820e+01  2.33630000e-02  8.14474430e+01  
1.77751823e+03  2200            2.80345930e+01  -2.65913000e-01 5.59202880e+01  7.22374800e+01  -1.72840000e-02 7.87226650e+01  
1.78066961e+03  2449            2.67475020e+01  -1.13104900e+00 5.07714770e+01  5.34462730e+01  9.66700000e-03  7.99497110e+01  
1.78219816e+03  1826            2.63646660e+01  -1.32861200e+00 4.79280530e+01  4.50545680e+01  -2.58000000e-03 8.00113420e+01  
1.78578234e+03  2065            3.18226510e+01  -1.36611000e-01 6.07583050e+01  7.73597020e+01  -1.10100000e-02 7.93640760e+01  
1.78728425e+03  1897            2.19322820e+01  -2.52920000e-01 5.55888620e+01  7.48205880e+01  -2.15330000e-02 8.00204530e+01  
1.78870553e+03  1815            2.48418280e+01  -4.52213000e-01 5.21273880e+01  7.21233480e+01  1.32990000e-02  8.20038750e+01  
1.78888948e+03  2343            2.67507040e+01  4.61425770e+01  5.52907380e+01  7.61173950e+01  4.73000000e-03  7.99130230e+01  
1.79118974e+03  2438            2.59140980e+01  -5.47174000e-01 5.31314930e+01  6.49842870e+01  -1.50650000e-02 8.10545910e+01  
1.79119550e+03  1950            2.55362620e+01  -1.97989000e-01 5.40006270e+01  6.77643340e+01  1.37590000e-02  8.38001890e+01  
1.79199645e+03  2400            2.58454950e+01  -6.52090000e-01 5.37359660e+01  6.58399990e+01  1.81360000e-02  7.99300280e+01  
1.79530205e+03  1478            2.67686580e+01  4.26069000e-01  5.19266030e+01  7.52707320e+01  1.42310000e-02  7.89576650e+01  
1.79568609e+03  1726            2.72934380e+01  -1.08148060e+01 5.65513570e+01  6.86929970e+01  1.97170000e-02  7.83377020e+01  
1.79963824e+03  2293            2.35197050e+01  -6.64406840e+01 5.40638580e+01  7.10113280e+01  -2.09300000e-02 8.17297010e+01  
1.79998650e+03  2274            2.12423260e+01  -4.28581000e-01 5.60819650e+01  8.66099450e+01  5.59800000e-03  8.51362750e+01  
1.80046295e+03  1820            2.52616960e+01  1.20198000e-01  4.73846490e+01  7.21207970e+01  1.58090000e-02  6.44140100e+01  
1.80665477e+03  2063            2.60479560e+01  -8.45301900e+00 5.22593140e+01  7.35615190e+01  -3.08200000e-03 8.17727730e+01  
1.80971667e+03  2305            3.04898080e+01  -1.28892000e-01 5.75046360e+01  3.26085630e+01  -1.89980000e-02 8.01648570e+01  
1.80986859e+03  943             3.57794870e+01  3.23647000e-01  5.54585380e+01  7.96022640e+01  1.35460000e-02  7.66422550e+01  
1.81180028e+03  2046            1.38749010e+01  -1.41137000e-01 5.56501560e+01  7.26993070e+01  2.08200000e-02  8.89862580e+01  
1.81387707e+03  2511            2.29171550e+01  -1.87259230e+01 4.64932170e+01  5.56955880e+01  1.25280000e-02  7.69159850e+01  
1.81583419e+03  2279            2.45732220e+01  -1.51504990e+01 4.85097430e+01  7.04052730e+01  1.72480000e-02  7.53587830e+01  
1.81628398e+03  1413            2.04642920e+01  -2.85305900e+00 5.04523520e+01  6.50407350e+01  2.84970000e-02  7.40016060e+01  
1.81911731e+03  926             3.37336860e+01  4.03410000e-02  5.29206840e+01  7.48077700e+01  -1.36320000e-02 6.76069260e+01  
1.81999767e+03  2066            2.51369470e+01  1.34284900e+00  5.55423840e+01  6.73437090e+01  -2.58340000e-02 8.01643360e+01  
1.82059399e+03  2373            2.39454110e+01  -6.28680000e-02 5.37594490e+01  6.48012720e+01  4.34900000e-03  8.05567770e+01  
1.82669170e+03  1970            2.55088030e+01  -1.98681000e-01 5.38781160e+01  7.41800510e+01  -2.48220000e-02 7.89527500e+01  
1.82782340e+03  1718            2.61009010e+01  -3.42263000e-01 5.37824270e+01  7.32983460e+01  2.44980000e-02  7.83158510e+01  
1.83389775e+03  2271            2.59298020e+01  5.15380000e-02  5.40435390e+01  7.42642760e+01  2.02870000e-02  7.25901770e+01  
1.83434886e+03  2244            2.53793340e+01  -1.31029000e-01 5.37304050e+01  7.39514830e+01  1.69690000e-02  7.18455080e+01  
1.83827393e+03  1560            1.26519250e+01  3.39002000e-01  4.92811830e+01  7.93948890e+01  1.70760000e-02  8.10197770e+01  
1.84032905e+03  2459            3.05248840e+01  -1.58076000e-01 5.45306520e+01  8.09620920e+01  1.65090000e-02  7.96630900e+01  
1.84511266e+03  2346            2.09435700e+01  -2.46914000e-01 5.39293980e+01  7.00625630e+01  -3.68630000e-02 8.11716720e+01  
1.84748801e+03  2192            2.40125920e+01  -2.83352000e-01 4.63032400e+01  6.18318300e+01  -1.60730000e-02 7.43757250e+01  
1.84948512e+03  2442            2.25283270e+01  -1.45708000e-01 4.58381810e+01  7.05527690e+01  -2.18790000e-02 7.30412530e+01  
1.85005351e+03  1556            2.38640280e+01  -8.47704000e-01 5.20391200e+01  7.57081950e+01  -3.44980000e-02 7.42778110e+01  
1.85005424e+03  1250            2.24931690e+01  9.17400000e-02  5.68815170e+01  7.59734420e+01  -3.50400000e-02 8.48187960e+01  
1.85854355e+03  2060            2.55835580e+01  -2.06550000e-02 6.15803810e+01  7.28352370e+01  -1.57730000e-02 8.11789580e+01  
1.85958073e+03  723             3.18415010e+01  -5.39669000e-01 4.91237520e+01  6.92050200e+01  -2.47350000e-02 6.81981140e+01  
1.86080222e+03  1406            2.74551970e+01  -3.91934000e-01 5.10110770e+01  7.08867130e+01  -1.90250000e-02 7.70934790e+01  
1.86302029e+03  2144            2.87417550e+01  3.85125152e+02  5.54229190e+01  5.21302620e+01  2.13890000e-02  7.54558660e+01  
1.86371012e+03  1958            2.43974860e+01  -4.62079000e-01 5.25045880e+01  7.15541660e+01  -2.05160000e-02 8.23278860e+01  
1.86562877e+03  2410            2.82309640e+01  8.21803000e-01  5.38177250e+01  7.03042670e+01  -2.18920000e-02 7.95708370e+01  
1.86955540e+03  2280            2.68713420e+01  -1.96159000e-01 5.26815400e+01  7.31664770e+01  -2.79000000e-03 8.03344700e+01  
1.87028676e+03  2251            3.36913380e+01  -3.92260000e-01 5.38083410e+01  7.49247450e+01  1.64090000e-02  6.72926830e+01  
1.87342621e+03  2211            2.54467690e+01  -2.97460000e-02 5.32885670e+01  7.15367500e+01  2.27650000e-02  8.17954250e+01  
1.87726061e+03  1956            2.79859820e+01  -4.53420400e+01 5.33763680e+01  6.13206710e+01  -1.44160000e-02 8.27613480e+01  
1.88355323e+03  1817            2.95877890e+01  -4.37788000e-01 5.51580990e+01  6.95535090e+01  -3.69360000e-02 7.64352400e+01  
1.88436078e+03  2209            2.61698100e+01  -1.41440400e+00 5.43926850e+01  7.23314470e+01  -3.32240000e-02 8.00227270e+01  
1.88492938e+03  1687            2.49260160e+01  -1.57524000e-01 5.35371880e+01  6.53470490e+01  4.77660000e-02  7.56640580e+01  
1.88823765e+03  2520            2.62925170e+01  -2.34646300e+00 4.83053880e+01  6.74197100e+01  -9.20600000e-03 8.03172490e+01  
1.89133895e+03  1566            2.60895820e+01  1.74240000e-01  5.84543470e+01  8.21593650e+01  3.74990000e-02  8.55254470e+01  
1.89189724e+03  1343            3.63152590e+01  1.14845270e+01  5.56652530e+01  7.16200570e+01  3.29110000e-02  7.28576490e+01  
1.89527775e+03  1821            2.41829890e+01  -1.61424000e-01 5.43804230e+01  6.92048740e+01  4.07260000e-02  7.42928260e+01  
1.89617065e+03  1948            2.44132770e+01  -3.21556000e-01 5.52364040e+01  9.07656450e+01  5.40870000e-02  7.71279810e+01  
1.89660975e+03  1496            2.11442620e+01  -3.17119000e-01 5.90608480e+01  7.28253990e+01  1.30620000e-02  8.04779380e+01  
1.89747204e+03  1657            2.41722410e+01  3.06673000e-01  4.96142350e+01  7.46554700e+01  1.67740000e-02  8.07888460e+01  
1.89851192e+03  2306            2.55208170e+01  -1.10656800e+00 5.00601250e+01  6.64340480e+01  -2.34300000e-03 8.00106390e+01  
1.90068545e+03  2455            2.18228220e+01  -3.90545000e-01 5.30558350e+01  6.76661140e+01  6.38970000e-02  7.91130720e+01  
1.90114473e+03  2324            2.67289470e+01  -2.47554000e-01 5.53181590e+01  7.29176710e+01  -4.99360000e-02 7.87825980e+01  
1.90214605e+03  2247            2.66817830e+01  3.26056140e+01  5.51908460e+01  6.89217530e+01  3.95510000e-02  8.02295670e+01  
1.90253605e+03  1581            2.66581130e+01  -2.16214000e-01 5.38212630e+01  7.11314000e+01  3.94690000e-02  7.16728260e+01  
1.90385393e+03  1964            2.56413120e+01  -1.17033000e-01 5.49732970e+01  6.82767900e+01  5.15860000e-02  7.49143010e+01  
1.90460587e+03  1177            1.61767530e+01  8.82467000e-01  4.12043930e+01  7.96326880e+01  1.66740000e-02  7.97520510e+01  
1.90529346e+03  2173            1.98607970e+01  -1.13175000e-01 5.40038720e+01  7.35649270e+01  8.22900000e-02  8.02863170e+01  
