Fit             Iteration       K1              K2              alpha           
1.49961000e-01  29              9.75240000e-02  4.10727430e+01  7.53604000e-01  
1.74717000e-01  478             1.45736100e+00  4.18320350e+01  1.09211000e+00  
1.97532000e-01  388             4.31310000e-02  5.65380109e+03  1.36253300e+00  
2.04516000e-01  209             1.48970100e+00  6.19904190e+01  6.41537000e-01  
2.06203000e-01  301             2.71623300e+00  9.28635400e+00  1.00500200e+00  
2.10569000e-01  113             1.55256500e+00  6.19904190e+01  7.54632000e-01  
4.32165000e-01  33              9.87750000e-02  8.83807050e+01  6.41537000e-01  
4.37312000e-01  267             4.31310000e-02  5.65380109e+03  8.66965000e-01  
4.40676000e-01  390             1.50303200e+00  2.08441500e+00  8.22163000e-01  
4.46301000e-01  144             1.45736100e+00  2.23259900e+00  1.09211000e+00  
5.57028000e-01  401             1.55256500e+00  6.19904190e+01  7.54632000e-01  
5.57342000e-01  257             1.06741000e-01  2.16662300e+00  1.32591000e+00  
5.58392000e-01  317             1.92997300e+01  2.16662300e+00  1.32591000e+00  
5.65579000e-01  348             1.56661400e+00  6.19904190e+01  7.53604000e-01  
5.65720000e-01  114             1.98551220e+01  3.13058520e+01  1.36253300e+00  
5.66817000e-01  431             1.06741000e-01  6.19904190e+01  7.54632000e-01  
5.67443000e-01  65              1.47419200e+00  2.16662300e+00  8.80591000e-01  
5.69901000e-01  140             1.98551220e+01  2.77409191e+02  1.36253300e+00  
5.77248000e-01  225             1.98551220e+01  5.75882197e+03  1.36253300e+00  
5.79942000e-01  197             1.55256500e+00  6.19904190e+01  7.54632000e-01  
5.80849000e-01  85              1.23261000e-01  1.08564900e+00  1.14200600e+00  
5.82259000e-01  167             1.47419200e+00  2.16662300e+00  1.32591000e+00  
5.84167000e-01  287             2.87402120e+01  2.77409191e+02  7.07365000e-01  
5.87442000e-01  493             9.87750000e-02  3.13058520e+01  1.44583100e+00  
5.87775000e-01  462             1.47419200e+00  2.16662300e+00  7.53604000e-01  
5.89390000e-01  15              8.23077000e-01  9.28635400e+00  1.00500200e+00  
5.95764000e-01  375             1.55256500e+00  6.19904190e+01  7.54632000e-01  
7.08447000e-01  123             3.25680000e-02  3.90409488e+02  8.66965000e-01  
7.30904000e-01  329             9.75240000e-02  2.16662300e+00  7.53604000e-01  
7.36335000e-01  30              2.71623300e+00  2.03702586e+02  8.08637000e-01  
7.39720000e-01  427             1.55256500e+00  6.19904190e+01  7.54632000e-01  
7.55490000e-01  494             9.87750000e-02  2.08441500e+00  8.10132000e-01  
7.57856000e-01  367             9.75240000e-02  2.16662300e+00  7.53604000e-01  
7.60106000e-01  224             1.14795900e+00  1.34580735e+02  1.01119300e+00  
7.63655000e-01  436             1.48252500e+00  2.23259900e+00  1.09211000e+00  
7.66593000e-01  398             1.45736100e+00  9.28635400e+00  1.00500200e+00  
7.66687000e-01  378             1.98551220e+01  5.75882197e+03  1.36253300e+00  
7.69078000e-01  495             1.06741000e-01  6.19904190e+01  9.30857000e-01  
7.70821000e-01  205             1.98551220e+01  3.13058520e+01  1.49377500e+00  
7.71540000e-01  339             1.55256500e+00  6.19904190e+01  1.14200600e+00  
7.73030000e-01  149             1.98551220e+01  9.28635400e+00  1.00500200e+00  
7.73490000e-01  187             8.97050000e-02  1.80511274e+03  5.08725000e-01  
7.73593000e-01  177             3.42010000e-02  3.90409488e+02  7.53604000e-01  
7.74822000e-01  223             2.90513000e-01  2.08441500e+00  8.80591000e-01  
7.74927000e-01  476             1.50303200e+00  6.19904190e+01  6.41537000e-01  
7.75198000e-01  385             1.55678600e+00  2.32923800e+00  6.41537000e-01  
7.75288000e-01  353             1.39999400e+00  6.19904190e+01  5.89013000e-01  
7.76329000e-01  470             1.48970100e+00  6.55539160e+01  6.41537000e-01  
7.76813000e-01  417             1.92997300e+01  2.16662300e+00  7.54632000e-01  
7.77265000e-01  115             1.14795900e+00  1.34580735e+02  1.01119300e+00  
7.77798000e-01  450             9.75240000e-02  4.10727430e+01  7.53604000e-01  
7.78499000e-01  359             4.70340000e-02  2.16662300e+00  8.80591000e-01  
