Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.70850233e+03  1179            6.46233800e+00  1.72314160e+01  8.44330000e-02  3.04282000e-01  1.17420600e+01  1.20360000e-01  
1.70939104e+03  2430            7.35216500e+00  1.13186900e+01  5.98240000e-02  -4.62203000e-01 1.25260510e+01  8.58700000e-02  
1.71083572e+03  2042            6.25400000e+00  1.71534800e+01  7.28160000e-02  -6.68877000e-01 1.45046570e+01  9.99440000e-02  
1.71163643e+03  1563            5.58135200e+00  1.84223470e+01  8.21920000e-02  1.45082000e-01  1.24897940e+01  1.15573000e-01  
1.71207604e+03  1904            6.03392800e+00  1.86222950e+01  6.61070000e-02  -9.55204000e-01 7.35024700e+00  9.13470000e-02  
1.71348450e+03  1177            6.15901300e+00  1.76699570e+01  8.60660000e-02  2.42542000e-01  7.21516500e+00  1.24912000e-01  
1.71859331e+03  1800            5.92506600e+00  1.40329700e+01  5.38650000e-02  -1.18094000e-01 1.35548660e+01  7.49940000e-02  
1.71884802e+03  1361            -5.27535400e+00 1.95803260e+01  1.02461000e-01  1.66980000e-02  1.30418610e+01  1.49770000e-01  
1.71962732e+03  1687            6.69974500e+00  1.53351940e+01  7.23820000e-02  -5.13679000e-01 1.32827440e+01  1.05182000e-01  
1.72134059e+03  2150            2.71860200e+00  1.31465350e+01  7.22670000e-02  4.39306000e-01  1.74134350e+01  1.35213000e-01  
1.72391434e+03  1069            4.81667600e+00  1.26589920e+01  1.06137000e-01  8.68530000e-02  1.42375180e+01  1.56219000e-01  
1.72779992e+03  2487            4.32930100e+00  1.61509890e+01  -6.13090000e-02 -3.53367000e-01 1.45969750e+01  9.09440000e-02  
1.72970776e+03  2307            4.14083600e+00  1.12682340e+01  1.02283000e-01  -6.70081000e-01 1.44474170e+01  -1.63019000e-01 
1.73084881e+03  1660            4.82179000e+00  1.29677860e+01  7.08750000e-02  2.40626000e-01  8.41355200e+00  1.13431000e-01  
1.73130675e+03  1082            7.29147800e+00  1.55400490e+01  9.21380000e-02  3.07684000e-01  1.17166040e+01  1.27565000e-01  
1.73154612e+03  2520            4.32021900e+00  1.33367740e+01  6.01580000e-02  -2.81562000e-01 1.39111660e+01  8.92450000e-02  
1.73187586e+03  2190            3.99449000e+00  1.34742450e+01  6.22340000e-02  -4.32607000e-01 1.81714780e+01  9.40960000e-02  
1.73191880e+03  1379            6.16841800e+00  1.88614580e+01  8.13800000e-02  -1.27285000e-01 8.55593300e+00  1.20275000e-01  
1.73203838e+03  1744            5.59342800e+00  1.57877970e+01  8.93590000e-02  -4.68110000e-01 1.04077280e+01  1.34064000e-01  
1.73252881e+03  939             7.50885400e+00  1.68149620e+01  9.25310000e-02  2.82839000e-01  1.14282140e+01  1.26912000e-01  
1.73416042e+03  2252            3.76455500e+00  1.01212480e+01  6.27680000e-02  -4.25234000e-01 2.00487210e+01  9.63570000e-02  
1.73578983e+03  699             7.55764400e+00  1.77785980e+01  9.23020000e-02  2.69825000e-01  1.11851090e+01  1.26958000e-01  
1.73604118e+03  842             7.92817600e+00  1.92742850e+01  9.32890000e-02  2.34912000e-01  1.08719060e+01  1.25653000e-01  
1.73605975e+03  1306            7.29275900e+00  1.81846060e+01  9.88750000e-02  -1.59175000e-01 1.07045850e+01  1.34884000e-01  
1.73772850e+03  1388            6.22506700e+00  1.75792390e+01  7.62930000e-02  3.79850000e-01  1.13029280e+01  1.13482000e-01  
1.73911915e+03  1546            5.64378500e+00  1.96701540e+01  8.74090000e-02  -3.72005000e-01 1.29337540e+01  1.31564000e-01  
1.74294174e+03  1470            5.89957800e+00  1.36792540e+01  8.09950000e-02  -2.23520000e-02 1.20286380e+01  1.21769000e-01  
1.74339833e+03  1605            7.78080700e+00  1.84620410e+01  9.97280000e-02  9.51370000e-02  1.38692820e+01  1.33855000e-01  
1.74571863e+03  2469            7.27143600e+00  1.77767740e+01  1.05300000e-01  -3.63580000e-02 1.46716550e+01  1.42485000e-01  
1.74603876e+03  1026            7.50730600e+00  1.92165330e+01  5.35710000e-02  1.18065600e+00  1.38263630e+01  7.05640000e-02  
1.74774322e+03  569             6.84288300e+00  1.48933990e+01  9.03990000e-02  3.37172000e-01  1.17892810e+01  1.29475000e-01  
1.74854278e+03  1419            5.95269100e+00  1.76939110e+01  8.46010000e-02  -4.24851000e-01 1.22520170e+01  1.15284000e-01  
1.75722874e+03  2296            3.61717800e+00  5.11990100e+00  1.26988000e-01  6.36428900e+00  1.63321500e+01  2.04897000e-01  
1.75762086e+03  976             6.43975700e+00  1.61892080e+01  8.03670000e-02  1.10396000e-01  1.09482010e+01  1.18942000e-01  
1.75780475e+03  1899            6.04274100e+00  1.21331920e+01  5.10420000e-02  -1.02710100e+00 1.25023360e+01  7.96330000e-02  
1.75863567e+03  1117            8.41886200e+00  1.55632250e+01  1.10751000e-01  3.26621200e+00  1.85944300e+00  1.47002000e-01  
1.75903807e+03  949             -6.59170900e+00 1.96963360e+01  1.15407000e-01  3.29446000e-01  1.59368870e+01  1.61852000e-01  
1.75952736e+03  1532            5.70153300e+00  1.79043590e+01  8.34260000e-02  -1.96154000e-01 1.03425340e+01  1.14142000e-01  
1.76225575e+03  812             6.24112700e+00  1.63600220e+01  1.22423000e-01  6.87919000e-01  1.07678490e+01  1.72878000e-01  
1.76337862e+03  1509            7.72132900e+00  1.57623870e+01  1.14094000e-01  2.15406000e-01  1.21068040e+01  1.53070000e-01  
1.76584983e+03  1628            5.97290700e+00  1.79547110e+01  7.50260000e-02  -1.68428000e-01 1.43833840e+01  1.14189000e-01  
1.76692348e+03  786             6.41801600e+00  1.53852120e+01  1.24120000e-01  1.08521200e+00  6.10665900e+00  1.74967000e-01  
1.76785323e+03  2283            2.31940800e+00  9.03927400e+00  5.93350000e-02  -5.65332000e-01 1.88737520e+01  1.06390000e-01  
1.76929455e+03  1120            6.28889400e+00  1.66646790e+01  1.16041000e-01  3.75420000e-01  6.03477200e+00  1.57531000e-01  
1.76992451e+03  1322            5.63727000e+00  1.84103550e+01  7.51400000e-02  -5.74825000e-01 1.04642850e+01  1.16293000e-01  
1.77295501e+03  2427            3.61991300e+00  1.24970950e+01  1.36298000e-01  -1.83295000e-01 1.56640610e+01  2.14411000e-01  
1.77430644e+03  422             7.14877000e+00  1.37995120e+01  1.03842000e-01  3.48942000e-01  7.32807600e+00  1.47088000e-01  
1.77454007e+03  1216            5.37945500e+00  1.81468130e+01  8.25970000e-02  -1.15288600e+00 8.78697700e+00  1.13802000e-01  
1.77483274e+03  2243            3.51076700e+00  1.15214270e+01  7.13690000e-02  -3.55825000e-01 1.46801270e+01  1.09846000e-01  
1.77810999e+03  2266            6.00799300e+00  1.31371720e+01  6.03090000e-02  -4.06555000e-01 1.47259290e+01  9.36570000e-02  
