Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.63617222e+03  2094            3.82148000e+00  5.02744200e+00  5.70570000e-02  3.26071146e+02  1.31065250e+01  -9.33970000e-02 
1.63617796e+03  2333            3.91043500e+00  3.06479500e+00  5.73890000e-02  2.43533453e+02  1.11671010e+01  -9.32690000e-02 
1.63618529e+03  1909            3.85663500e+00  5.02612100e+00  5.69800000e-02  3.22048866e+02  1.31208000e+01  -9.31330000e-02 
1.63618923e+03  2121            3.63249100e+00  3.33844000e+00  5.69040000e-02  4.12907728e+02  1.12969800e+01  -9.47610000e-02 
1.63620882e+03  2199            3.52806300e+00  1.58051900e+00  5.63400000e-02  3.99659262e+02  1.33889340e+01  -9.41600000e-02 
1.63623417e+03  2089            3.86008300e+00  4.99406300e+00  5.70250000e-02  3.21124376e+02  1.31519060e+01  -9.29090000e-02 
1.63623563e+03  2238            3.79777100e+00  4.89355000e-01  5.67720000e-02  3.26400555e+02  1.32459690e+01  -9.36350000e-02 
1.63626969e+03  2472            3.78089500e+00  9.02920000e-02  5.66780000e-02  3.51486364e+02  1.34263710e+01  -9.25130000e-02 
1.63627318e+03  2491            3.83159800e+00  -1.34841500e+00 5.66150000e-02  3.50500452e+02  1.33462030e+01  -9.31610000e-02 
1.63628525e+03  1989            3.82949300e+00  5.02449000e+00  5.68800000e-02  3.34279503e+02  1.29432280e+01  -9.27760000e-02 
1.63633884e+03  2254            3.62531400e+00  3.94351200e+00  5.67860000e-02  3.17600593e+02  1.31339980e+01  -9.41180000e-02 
1.63634264e+03  2141            3.67182400e+00  -5.49990000e-02 5.69270000e-02  4.21698001e+02  1.35763830e+01  -9.47690000e-02 
1.63637805e+03  1978            3.84602800e+00  4.97967100e+00  5.73610000e-02  3.25678172e+02  1.30771840e+01  -9.36430000e-02 
1.63639915e+03  2447            3.81963600e+00  2.89419400e+00  5.62740000e-02  3.45140275e+02  1.33843460e+01  -9.27640000e-02 
1.63642241e+03  2062            3.87184600e+00  5.01923600e+00  5.71310000e-02  3.40538362e+02  1.31357640e+01  -9.28970000e-02 
1.63642503e+03  1966            3.87667700e+00  5.05557000e+00  5.72420000e-02  3.45575507e+02  1.32928330e+01  -9.34370000e-02 
1.63646146e+03  2471            3.75676300e+00  6.34409000e-01  5.66060000e-02  3.23570910e+02  1.36433610e+01  -9.25320000e-02 
1.63646167e+03  2085            3.86746600e+00  5.02639300e+00  5.69340000e-02  3.30885374e+02  1.31790570e+01  -9.25320000e-02 
1.63650156e+03  2143            3.62419300e+00  3.81911400e+00  5.66770000e-02  3.73000072e+02  2.95222530e+01  -9.45260000e-02 
1.63654212e+03  1914            3.79308100e+00  5.01364400e+00  5.76260000e-02  3.50335679e+02  1.26134180e+01  -9.44870000e-02 
1.63654634e+03  1854            3.79589200e+00  5.01888600e+00  5.76280000e-02  3.50366696e+02  1.26631190e+01  -9.44740000e-02 
1.63655089e+03  1882            3.79670600e+00  5.04302200e+00  5.76310000e-02  3.50236399e+02  1.26925440e+01  -9.44680000e-02 
1.63656580e+03  2296            3.64755800e+00  9.83795000e-01  5.66610000e-02  3.70308460e+02  1.33591320e+01  -9.34600000e-02 
1.63657161e+03  1822            3.80551900e+00  4.94002100e+00  5.75920000e-02  3.50623910e+02  1.27050210e+01  -9.44520000e-02 
1.63657376e+03  1726            3.80583400e+00  4.94059700e+00  5.75920000e-02  3.50663544e+02  1.27064230e+01  -9.44520000e-02 
1.63657668e+03  1758            3.81345800e+00  5.05164700e+00  5.76430000e-02  3.50560551e+02  1.29737510e+01  -9.43900000e-02 
1.63658654e+03  1642            3.80770600e+00  4.94401900e+00  5.75940000e-02  3.50898923e+02  1.27147500e+01  -9.44530000e-02 
1.63664956e+03  2449            3.82564700e+00  1.70018500e+00  5.63500000e-02  3.24889064e+02  1.34830720e+01  -9.29330000e-02 
1.63667310e+03  1582            3.81824900e+00  4.96328600e+00  5.76050000e-02  3.52224240e+02  1.27616350e+01  -9.44580000e-02 
1.63669523e+03  2494            3.68911000e+00  6.26232000e+00  5.67500000e-02  3.45546566e+02  1.33567080e+01  -9.34680000e-02 
1.63678681e+03  1976            3.83970900e+00  4.73421200e+00  5.69130000e-02  3.20466069e+02  1.32782200e+01  -9.25320000e-02 
1.63679317e+03  1903            3.67609900e+00  4.97429200e+00  5.76440000e-02  3.50176894e+02  3.27302130e+01  -9.53360000e-02 
1.63681899e+03  2459            4.02750300e+00  2.76612000e-01  5.71420000e-02  3.30867418e+02  1.34302580e+01  -9.26380000e-02 
1.63682552e+03  2305            3.89264900e+00  1.71606000e+00  5.69590000e-02  4.13265552e+02  1.35191720e+01  -9.33290000e-02 
1.63683540e+03  1993            3.84734900e+00  5.04971300e+00  5.71040000e-02  3.19788105e+02  1.31865360e+01  -9.37190000e-02 
1.63686320e+03  2477            3.71937300e+00  1.98135800e+00  5.65410000e-02  3.07934626e+02  1.42700740e+01  -9.26400000e-02 
1.63687324e+03  2325            3.81278100e+00  1.36847900e+00  5.68850000e-02  3.10862037e+02  1.33100700e+01  -9.38290000e-02 
1.63692109e+03  1965            3.62413700e+00  5.08670500e+00  5.68230000e-02  3.26062116e+02  9.51981200e+00  -9.40380000e-02 
1.63693706e+03  2295            3.80752100e+00  4.54019800e+00  5.75510000e-02  2.87892396e+02  1.31736970e+01  -9.38050000e-02 
1.63693782e+03  2167            3.86726100e+00  3.40634400e+00  5.80200000e-02  3.84413325e+02  6.96630760e+01  -9.45370000e-02 
1.63693943e+03  1841            3.78931700e+00  4.87199500e+00  5.75420000e-02  3.65346242e+02  1.33673730e+01  -9.47350000e-02 
1.63701755e+03  2421            3.79809400e+00  9.90368000e-01  5.66640000e-02  3.84708219e+02  1.34803410e+01  -9.36730000e-02 
1.63712164e+03  2173            3.65097400e+00  5.28177300e+00  5.70380000e-02  3.55459288e+02  1.24544080e+01  -9.51130000e-02 
1.63718139e+03  1614            3.87828800e+00  5.14231100e+00  5.80490000e-02  3.52553848e+02  1.29665930e+01  -9.41750000e-02 
1.63719564e+03  2315            4.01208700e+00  9.99600000e-02  5.71650000e-02  3.07702340e+02  1.33031220e+01  -9.28960000e-02 
1.63719714e+03  2122            3.86901100e+00  7.00990000e-01  5.68150000e-02  4.19473017e+02  1.33259460e+01  -9.34290000e-02 
1.63726005e+03  1374            3.81457900e+00  5.00176500e+00  5.79320000e-02  3.54139222e+02  1.29108400e+01  -9.43340000e-02 
1.63727656e+03  1901            3.78788900e+00  5.00522900e+00  5.75350000e-02  3.44557450e+02  1.29622440e+01  -9.48630000e-02 
1.63729925e+03  2363            3.87013500e+00  3.63398700e+00  5.66600000e-02  3.55824295e+02  1.32939700e+01  -9.31450000e-02 
