Fit             Iteration       K1              K2              alpha           
7.53189000e-01  gen6perm7       1.38388000e-01  1.67609948e+02  1.40829400e+00  
7.55410000e-01  gen8perm1       1.38388000e-01  1.43381420e+03  1.33205000e+00  
7.58363000e-01  gen8perm7       9.39869000e-01  1.57973638e+02  7.37998000e-01  
7.58411000e-01  gen10perm7      9.91236000e-01  1.35715396e+03  9.53202000e-01  
7.59878000e-01  gen5perm7       5.80741000e-01  6.20269277e+02  1.33205000e+00  
7.67920000e-01  gen6perm42      9.39869000e-01  1.67609948e+02  8.69897000e-01  
7.70256000e-01  gen2perm1       1.52694000e-01  1.67609948e+02  8.62467000e-01  
7.74058000e-01  gen10perm1      8.98074000e-01  1.57973638e+02  9.53202000e-01  
7.76840000e-01  gen5perm42      1.38388000e-01  1.98445746e+02  1.49171900e+00  
7.78618000e-01  gen4perm1       5.80741000e-01  2.86475850e+03  1.33205000e+00  
7.79271000e-01  gen5perm48      5.80741000e-01  6.20269277e+02  1.39898900e+00  
7.79347000e-01  gen3perm7       7.79200000e-03  6.20269277e+02  1.34603300e+00  
7.82577000e-01  gen9perm46      9.91236000e-01  1.57973638e+02  1.33205000e+00  
7.83900000e-01  gen3perm42      1.26105820e+01  1.27608923e+03  1.43292200e+00  
7.87756000e-01  gen7perm42      9.91236000e-01  1.43381420e+03  1.33205000e+00  
7.88662000e-01  gen2perm46      2.75944000e-01  5.50134127e+02  1.36367400e+00  
7.92268000e-01  gen4perm46      7.79200000e-03  2.86475850e+03  1.33205000e+00  
7.96572000e-01  gen1perm42      3.47291760e+01  1.33691035e+03  1.05721200e+00  
7.96594000e-01  gen4perm7       9.39869000e-01  1.67609948e+02  8.69897000e-01  
8.02388000e-01  gen9perm42      9.91236000e-01  1.43381420e+03  1.33205000e+00  
8.06817000e-01  gen5perm46      9.39869000e-01  1.67609948e+02  1.43292200e+00  
8.07606000e-01  gen8perm42      1.38388000e-01  1.57973638e+02  1.33205000e+00  
8.13775000e-01  gen8perm46      1.38388000e-01  1.43381420e+03  1.33205000e+00  
8.18254000e-01  gen10perm48     9.91236000e-01  1.35715396e+03  9.53202000e-01  
8.19168000e-01  gen7perm46      5.80741000e-01  2.86475850e+03  8.69897000e-01  
8.21532000e-01  gen9perm48      9.76992000e-01  1.31924732e+02  9.53202000e-01  
8.23106000e-01  gen10perm6      9.05289000e-01  1.35715396e+03  9.53202000e-01  
8.23158000e-01  gen2perm48      1.06123700e+00  3.31035123e+03  9.22038000e-01  
8.29309000e-01  gen2perm42      8.58144000e-01  3.53946722e+03  1.27861200e+00  
8.35446000e-01  gen10perm46     8.98074000e-01  1.43381420e+03  9.53202000e-01  
8.40909000e-01  gen4perm48      1.38388000e-01  1.98445746e+02  1.40829400e+00  
8.40966000e-01  gen4perm42      5.80741000e-01  2.86475850e+03  1.33205000e+00  
8.41732000e-01  gen1perm46      9.91236000e-01  1.43381420e+03  8.29810000e-01  
8.42507000e-01  gen2perm6       2.58260000e-02  4.03246300e+00  1.20612900e+00  
8.44072000e-01  gen7perm6       1.38388000e-01  1.57973638e+02  8.69897000e-01  
8.44180000e-01  gen6perm46      1.38388000e-01  2.86475850e+03  8.69897000e-01  
8.47057000e-01  gen8perm48      9.91236000e-01  1.23443437e+03  1.33205000e+00  
