Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.73800000e+03  2497            -1.71110740e+01 6.79810000e-02  5.88231780e+01  -9.87409000e-01 -1.12840000e-02 9.16931380e+01  
1.85200000e+03  171             -1.57836260e+01 2.42550000e-02  4.17097620e+01  1.50566000e-01  -2.96400000e-03 1.04871396e+02  
1.88200000e+03  2362            -5.29844100e+00 -1.43358480e+01 2.70972640e+01  -3.12609484e+02 1.66960000e-02  1.21936267e+02  
1.96200000e+03  2506            -3.61779180e+01 1.18518000e-01  4.89331950e+01  2.79386430e+01  -2.06582000e-01 6.63054930e+01  
1.97800000e+03  2449            -2.26295230e+01 6.38310000e-02  1.36805228e+02  7.44032872e+02  3.81415700e+00  -2.05232002e+02 
2.03000000e+03  2338            -5.23675100e+00 -2.65418570e+01 1.83356970e+01  -9.90535000e+00 4.22410000e-02  7.20779580e+01  
2.06300000e+03  1905            6.94191210e+01  4.16870000e-02  1.54447252e+02  7.12165400e+00  7.76513220e+01  1.52583096e+02  
2.07200000e+03  3               2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  136             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  186             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  266             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  337             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  368             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  439             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  476             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  547             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  584             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  655             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  712             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  768             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  839             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  896             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  952             2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1023            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1080            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1136            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1207            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1264            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1320            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1334            2.43847846e+02  2.69640000e-02  1.14579280e+01  2.77543100e+00  8.50548000e-01  1.15926930e+01  
2.07200000e+03  1391            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1448            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1504            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1575            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1632            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1688            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1759            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1816            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1872            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  1943            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  2000            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  2056            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  2127            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  2184            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  2240            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  2311            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  2368            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  2424            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07200000e+03  2495            2.65203300e+00  9.24170000e-02  8.81514000e-01  1.08441120e+01  6.82030000e-02  4.39215300e+00  
2.07500000e+03  1364            3.40183661e+02  -4.06485520e+01 -9.35969530e+02 -3.31614400e+00 1.46579610e+01  -9.26768515e+02 
2.07800000e+03  696             -3.74429125e+02 -6.83010000e-02 2.87811765e+02  1.44115000e-01  -8.15074400e+00 2.81177491e+02  
2.08100000e+03  880             -3.68875053e+02 -6.37830000e-02 2.89204268e+02  1.45411000e-01  -8.12218200e+00 2.78641765e+02  
