Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
2.13700000e+03  gen18perm7      -3.08797200e+00 -1.42766670e+01 -8.34504100e+00 7.14384000e-01  -1.51189760e+03 1.50730550e+01  
2.38300000e+03  gen17perm5      1.75932700e+00  -3.79402720e+01 2.81100940e+01  2.43584000e-01  7.59460171e+02  6.47363060e+01  
2.44700000e+03  gen16perm7      5.46540000e-01  3.23469750e+01  1.48840200e+01  7.28466000e-01  -1.39336634e+02 6.00773560e+01  
2.59700000e+03  gen21perm7      -3.37720300e+00 1.37807560e+01  -3.14693800e+00 7.17470000e-01  2.68754206e+02  6.10893900e+00  
2.74900000e+03  gen19perm5      -1.02977000e-01 6.84560050e+01  1.48773670e+01  1.06337400e+00  2.83148949e+03  -1.85141354e+02 
2.80100000e+03  gen6perm7       5.86982000e-01  -5.07690400e+00 5.93307100e+00  6.12138000e-01  2.47236594e+02  2.40003400e+01  
2.82900000e+03  gen9perm7       6.75169000e-01  5.72150000e-02  7.68039700e+00  6.40988000e-01  2.78297274e+02  2.91649330e+01  
2.96900000e+03  gen8perm5       5.43499000e-01  -1.98820790e+01 6.43706500e+00  4.51655000e-01  8.85014060e+01  3.11426220e+01  
2.96900000e+03  gen17perm1      2.36593100e+00  -3.91043885e+02 -2.63216140e+01 9.69052680e+02  2.93596733e+03  5.99629000e+01  
2.99000000e+03  gen5perm7       3.05600000e-01  -1.43091360e+01 3.25715900e+00  5.56471000e-01  1.48018317e+02  1.39013210e+01  
3.23000000e+03  gen35perm7      1.45839330e+01  2.15042856e+02  1.15396201e+02  7.67877000e-01  1.22026033e+04  1.82489134e+02  
3.37800000e+03  gen7perm7       7.32851000e-01  -2.90915000e-01 7.32026400e+00  6.40996000e-01  2.98671353e+02  2.92356720e+01  
3.46300000e+03  gen10perm7      3.06640000e-01  -9.11584700e+00 5.83801900e+00  6.19335000e-01  1.25016580e+02  2.40706270e+01  
3.48200000e+03  gen7perm5       1.90638000e-01  -1.81691370e+01 -4.80972000e-01 5.63827000e-01  1.26866441e+02  4.37801100e+00  
3.55800000e+03  gen11perm8      6.77095000e-01  3.49572320e+01  1.43575220e+01  8.24879000e-01  3.61961686e+02  3.29136200e+01  
3.63300000e+03  gen31perm8      -8.05366880e+01 6.15550693e+03  2.61714439e+03  6.04640940e+01  -5.22468073e+03 3.40689601e+03  
3.67000000e+03  gen8perm7       8.08469000e-01  2.19014200e+00  8.03938500e+00  6.55956000e-01  3.25335134e+02  3.19496680e+01  
3.67100000e+03  gen41perm1      1.11231910e+03  8.11049058e+03  -1.29588691e+04 -1.95847912e+06 -3.66581090e+06 1.10569158e+04  
3.77200000e+03  gen13perm1      -3.42738000e-01 -5.65467340e+01 1.16695240e+01  7.03093314e+02  -8.59824231e+02 3.87704360e+01  
3.80500000e+03  gen22perm8      -5.46534800e+00 3.64058916e+03  2.81007292e+02  -8.23294700e+00 -5.71687966e+02 -3.15907702e+02 
3.97300000e+03  gen11perm5      6.94607000e-01  -1.08696840e+01 1.06774550e+01  6.27448000e-01  3.72682483e+02  2.23334110e+01  
4.09000000e+03  gen18perm5      5.32836000e-01  3.21310360e+01  1.93951790e+01  7.83488000e-01  2.12407376e+03  -9.98301150e+01 
4.21400000e+03  gen9perm5       9.15693000e-01  -2.06281080e+01 1.11193910e+01  4.44129000e-01  1.64384336e+02  4.80398260e+01  
4.27800000e+03  gen26perm7      3.92482000e-01  1.92894024e+02  6.91600700e+01  7.09971000e-01  8.33973630e+03  4.40411389e+02  
4.42900000e+03  gen15perm1      -2.69956300e+00 3.07620682e+02  3.09465540e+01  2.72413954e+03  -6.25870233e+03 -3.34538640e+01 
4.56500000e+03  gen10perm5      1.12525400e+00  -1.71886930e+01 1.35198670e+01  5.15826000e-01  2.57772763e+02  5.39649180e+01  
4.88800000e+03  gen18perm8      1.65232500e+00  -2.62775850e+02 -2.62263790e+01 3.54464900e+00  1.42932370e+03  8.89975110e+01  
5.02900000e+03  gen24perm5      1.06820960e+01  3.64000800e+00  1.38611329e+02  2.83406800e+00  5.49796563e+03  -2.91589600e+02 
5.22500000e+03  gen18perm1      4.11163600e+00  -7.32031899e+02 -5.54224420e+01 -6.12758703e+02 6.18415869e+03  1.45608504e+02  
5.28600000e+03  gen17perm10     -3.46868574e+03 -1.53498977e+04 -1.15431711e+02 -3.91406450e+01 -8.42573843e+03 -1.21126412e+02 
5.41900000e+03  gen19perm8      4.39002900e+00  -2.21396562e+03 -1.86749548e+02 3.34611000e+00  1.93138786e+03  1.62263455e+02  
5.54900000e+03  gen21perm1      -2.65518100e+00 4.63386828e+02  2.34798520e+01  8.38526873e+02  -9.21419079e+03 -2.19541340e+01 
5.55500000e+03  gen15perm7      2.43477500e+00  3.90815990e+01  1.60280940e+01  6.90770000e-01  7.02043121e+02  5.17406660e+01  
5.62200000e+03  gen12perm5      2.66363000e-01  -2.30525200e+00 5.87184300e+00  6.58262000e-01  3.79284161e+02  -1.77377720e+01 
5.82700000e+03  gen12perm8      1.12768700e+00  -3.17297387e+02 -3.17068630e+01 1.04914900e+00  4.66818614e+02  4.05978690e+01  
6.00700000e+03  gen9perm1       2.12636000e-01  8.57926570e+01  7.97493000e+00  -2.12322306e+02 3.29331645e+02  2.76390890e+01  
6.11300000e+03  gen27perm7      1.23819400e+00  3.08835887e+02  6.25871900e+01  7.18708000e-01  1.18159742e+04  2.76568397e+02  
6.18500000e+03  gen35perm8      8.21139740e+01  -2.76355140e+03 4.80826325e+03  -1.51323899e+02 3.10140479e+03  -9.67966515e+03 
6.34300000e+03  gen18perm3      -1.27823234e+03 6.33456510e+01  -2.36688523e+02 -2.97598291e+02 1.70785380e+03  1.07529021e+02  
6.39000000e+03  gen26perm8      3.79805340e+01  -1.53559590e+04 -1.48039969e+03 1.75669000e+01  2.79054899e+03  1.12565061e+03  
6.46400000e+03  gen14perm7      2.69265200e+00  2.80637330e+01  8.83799000e+00  6.14808000e-01  8.01771305e+02  3.07705640e+01  
6.47000000e+03  gen29perm8      -3.55743620e+01 2.19893058e+04  2.96065852e+03  -3.10390190e+01 -5.58970313e+03 -3.52594203e+03 
6.49700000e+03  gen20perm2      -1.58235100e+00 8.15621660e+01  -6.81659410e+01 -1.21100860e+04 -5.42688369e+04 6.66968540e+01  
6.51300000e+03  gen21perm8      3.88189700e+00  -9.01344722e+02 -1.02821976e+02 -7.81352900e+00 3.59285832e+02  -7.85097220e+01 
6.78400000e+03  gen4perm7       -2.37190000e-01 -3.21182230e+01 -1.90470900e+00 4.49089000e-01  -4.33749490e+01 -5.57981000e+00 
7.08200000e+03  gen14perm5      1.96698000e-01  -4.96872300e+00 -4.68835600e+00 4.68587000e-01  -6.22077819e+02 1.41112960e+01  
7.27900000e+03  gen23perm8      -1.75942760e+01 6.98310451e+03  6.10013531e+02  -4.69534300e+00 -2.04485761e+03 -3.47804191e+02 
7.38700000e+03  gen6perm2       -4.85960000e-02 -1.26222840e+01 -1.37269900e+00 6.25306160e+01  -4.75800790e+02 -7.73469970e+01 
7.61500000e+03  gen0perm5       8.86100000e-03  7.54500000e-03  1.26700000e-03  7.43863000e-01  2.73066835e+02  1.34377300e+00  
7.61500000e+03  gen1perm5       8.86100000e-03  7.54500000e-03  1.26700000e-03  7.43863000e-01  2.73066835e+02  1.34377300e+00  
7.61500000e+03  gen2perm5       8.86100000e-03  7.54500000e-03  1.26700000e-03  7.43863000e-01  2.73066835e+02  1.34377300e+00  
7.61500000e+03  gen3perm5       8.86100000e-03  7.54500000e-03  1.26700000e-03  7.43863000e-01  2.73066835e+02  1.34377300e+00  
7.61500000e+03  gen4perm5       8.86100000e-03  7.54500000e-03  1.26700000e-03  7.43863000e-01  2.73066835e+02  1.34377300e+00  
7.61500000e+03  gen5perm5       8.86100000e-03  7.54500000e-03  1.26700000e-03  7.43863000e-01  2.73066835e+02  1.34377300e+00  
7.90100000e+03  gen4perm4       -2.95055330e+01 -4.62380000e-02 -2.70407040e+01 -9.28363920e+01 5.95501426e+02  -1.15770350e+01 
7.92700000e+03  gen20perm8      5.83217500e+00  -2.94541778e+03 -2.47822370e+02 -1.15554600e+00 1.20237622e+03  1.43482375e+02  
7.93000000e+03  gen32perm8      -2.21822530e+01 -2.18084804e+04 -2.34434699e+03 8.12351360e+01  2.07637087e+02  7.91486103e+03  
8.28900000e+03  gen31perm7      -9.16909600e+00 -4.38130356e+02 -1.08323389e+02 7.01343000e-01  -1.51622441e+04 3.56336992e+02  
8.44400000e+03  gen28perm1      -5.84779960e+01 1.06627533e+04  6.52820238e+02  7.38216668e+03  -1.12204355e+05 -1.63657677e+03 
8.58500000e+03  gen20perm1      3.48461800e+00  -6.52916990e+02 -3.34490310e+01 -1.59791398e+03 1.14361212e+03  1.45092092e+02  
8.58700000e+03  gen0perm9       2.03116000e-01  4.13136993e+02  8.97100000e-02  9.28550000e-02  1.14754500e+00  4.24103163e+02  
8.58700000e+03  gen1perm9       2.03116000e-01  4.13136993e+02  8.97100000e-02  9.28550000e-02  1.14754500e+00  4.24103163e+02  
8.59500000e+03  gen24perm8      -2.07199800e+01 4.34972383e+03  2.46022765e+02  8.39040700e+00  -2.16307036e+03 -1.05238421e+02 
8.76600000e+03  gen25perm7      -2.41250900e+00 -2.63213480e+01 3.47621960e+01  7.07624000e-01  -5.46232736e+02 1.81941762e+02  
8.80500000e+03  gen38perm7      -8.27968350e+01 -2.25289183e+03 -1.12803328e+03 5.44285000e-01  -1.72543569e+05 4.00477778e+02  
8.83400000e+03  gen34perm5      -1.09582131e+02 -9.74831750e+02 -9.10523383e+02 -1.84216400e+01 -6.69759406e+04 -2.48202003e+03 
8.84300000e+03  gen41perm7      1.36609289e+02  6.46920511e+03  2.27511883e+03  1.11590500e+00  2.27381160e+05  -8.26668716e+02 
8.86800000e+03  gen19perm1      3.91161100e+00  -8.07806829e+02 -4.43248730e+01 -2.04083618e+03 6.59968858e+03  1.90124666e+02  
8.93500000e+03  gen15perm3      1.29566676e+03  -5.99277570e+01 -5.91467080e+01 6.73140460e+02  -9.82074679e+02 -1.82949500e+01 
9.02100000e+03  gen27perm8      6.05051240e+01  -1.13861456e+04 -1.14160279e+03 -2.25893080e+01 2.58994367e+03  4.67592509e+02  
