Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.20440000e+04  gen16perm10     -1.22291131e+04 2.42407766e+03  -9.33068809e+02 1.24533567e+05  -1.50686203e+04 1.59125544e+02  
1.25640000e+04  gen10perm6      7.68094710e+01  6.42240294e+02  4.07894400e+00  4.92976320e+03  -8.94145800e+03 -6.78877000e-01 
1.27800000e+04  gen15perm10     -9.37205385e+03 2.01755963e+03  -5.04187329e+02 4.75627198e+04  -2.52739314e+03 7.16998780e+01  
1.27890000e+04  gen20perm10     7.24440868e+04  -6.51337892e+03 5.60411123e+03  -1.17280144e+06 4.79417955e+04  -8.28484830e+02 
1.29100000e+04  gen16perm6      3.36662668e+02  -1.36092301e+04 7.21214790e+01  -1.18500982e+05 -2.31182013e+04 1.23934890e+01  
1.29830000e+04  gen17perm6      1.00402534e+03  1.95009303e+03  1.51121640e+02  -1.64965624e+05 -1.74036793e+05 -2.08250710e+01 
1.30020000e+04  gen9perm8       5.41079798e+02  -8.07248389e+02 4.29769780e+01  -1.45614742e+04 -1.04047640e+03 -5.91543500e+00 
1.31100000e+04  gen21perm10     -5.12502177e+04 6.07912473e+03  3.23858516e+03  -5.29325195e+05 4.98422599e+04  4.37585143e+02  
1.31830000e+04  gen21perm6      -9.83801030e+03 -2.66623718e+04 -9.76255428e+02 9.63843412e+05  1.07677717e+06  2.01116872e+02  
1.34720000e+04  gen15perm8      3.32606554e+03  -1.31968988e+04 2.79031036e+02  -5.36078561e+04 -1.62486806e+03 -3.91859210e+01 
1.35260000e+04  gen14perm10     -2.52518323e+03 5.93870497e+02  -3.40501280e+01 -2.02895112e+04 2.89331103e+03  -3.91988200e+00 
1.35280000e+04  gen12perm2      -5.69722274e+03 1.41846069e+02  -1.22074922e+02 -1.50686082e+03 3.14618129e+03  1.39091600e+01  
1.40480000e+04  gen5perm4       -6.72225000e+01 -1.54589065e+02 -5.01996900e+00 1.58014434e+03  1.22354770e+01  -3.58606430e+01 
1.41780000e+04  gen16perm2      5.98420401e+03  3.27007663e+02  5.65449319e+02  5.84210751e+05  -2.32801730e+04 -5.17619990e+01 
1.45630000e+04  gen2perm2       7.39355650e+01  1.13436370e+01  -3.47249600e+00 6.45058522e+02  1.23243300e+00  3.05206000e-01  
1.48060000e+04  gen22perm10     -2.91546459e+05 3.34464739e+04  -1.33627123e+04 2.99098827e+06  -5.39959968e+03 2.11920674e+03  
1.50500000e+04  gen5perm3       2.82403200e+01  1.98973370e+01  1.24060395e+02  2.29183539e+03  -2.95943893e+02 -9.37868600e+00 
1.55600000e+04  gen19perm6      -1.30889179e+03 5.79245433e+04  -3.31225677e+02 -2.87923765e+02 -1.94055634e+05 -8.92761980e+01 
1.56070000e+04  gen23perm2      1.67397961e+04  1.41177328e+02  2.92897670e+04  1.47685503e+07  -6.25825914e+05 -1.31597039e+03 
1.56330000e+04  gen9perm7       -4.18222535e+04 -3.01118654e+02 6.16444675e+02  -1.03868642e+04 -9.56013038e+02 -2.71538400e+01 
1.57600000e+04  gen8perm3       -8.60285460e+01 -3.61387721e+02 1.06942577e+03  -7.74351591e+03 -1.20904627e+02 4.81377780e+01  
1.58590000e+04  gen10perm10     3.36645130e+01  6.30135820e+01  -1.59231610e+01 6.47646498e+03  -9.25981758e+02 7.05245000e-01  
1.58890000e+04  gen0perm4       7.82447560e+01  1.11478814e+02  4.87929500e+00  1.80802540e+01  9.39173100e+00  5.92644150e+01  
1.58890000e+04  gen1perm4       7.82447560e+01  1.11478814e+02  4.87929500e+00  1.80802540e+01  9.39173100e+00  5.92644150e+01  
1.59570000e+04  gen7perm3       -7.12971760e+01 -5.67283246e+02 1.38569968e+03  -5.01155055e+03 9.65044070e+01  5.38962810e+01  
1.60360000e+04  gen4perm2       -2.63022904e+02 7.03346390e+01  -6.17751630e+01 2.32778130e+03  1.38974090e+01  2.08383500e+00  
1.60380000e+04  gen12perm3      7.47779520e+02  7.22881247e+02  4.18892489e+03  6.56085254e+04  -1.64058321e+03 -1.38613438e+02 
1.60540000e+04  gen2perm4       6.39798410e+01  9.42559010e+01  3.33686500e+00  9.36089017e+02  2.98225200e+00  5.03320150e+01  
1.60670000e+04  gen2perm7       4.82625050e+01  1.38041120e+01  4.80758100e+00  3.20383100e+00  5.98867000e-01  1.72223000e-01  
1.61550000e+04  gen3perm4       -4.23673260e+01 -6.35800100e+00 -2.31621500e+00 1.87556948e+03  -3.59476100e+00 -3.68474460e+01 
1.61570000e+04  gen4perm3       -2.58988300e+00 1.85095236e+02  -4.13332083e+02 3.60899843e+03  -4.73005727e+02 -2.22158450e+01 
1.61720000e+04  gen24perm10     -2.63310962e+05 1.22504514e+04  -3.63801512e+04 6.07944284e+06  -2.43396284e+05 1.53098106e+03  
1.61730000e+04  gen3perm2       -6.41918630e+01 3.24673050e+01  -3.44674540e+01 1.48096023e+03  6.38098000e+00  1.08491900e+00  
1.62110000e+04  gen0perm3       8.15097000e-01  1.37700000e-03  9.72259070e+01  3.40002000e-01  6.34914084e+02  7.71963700e+00  
1.62110000e+04  gen1perm3       8.15097000e-01  1.37700000e-03  9.72259070e+01  3.40002000e-01  6.34914084e+02  7.71963700e+00  
1.62300000e+04  gen15perm6      -8.56320260e+01 -1.26590186e+04 -1.67383400e+00 -4.74042471e+04 4.47119291e+04  1.78930580e+01  
1.63050000e+04  gen6perm7       9.90522879e+03  -3.57148290e+01 1.61131031e+02  8.00655004e+02  -1.56806700e+00 3.84404200e+00  
1.63520000e+04  gen16perm3      -2.94958855e+03 -1.46272770e+03 -3.07951443e+04 1.00679449e+05  -3.84485072e+03 7.20406188e+02  
1.63590000e+04  gen15perm3      -5.12091275e+03 -9.05325488e+03 2.19245942e+04  -4.44334552e+05 9.70018621e+03  6.87310388e+02  
1.63640000e+04  gen0perm8       4.75409330e+01  4.89330000e-02  1.59342800e+00  1.00910000e-02  6.96786700e+00  4.06910000e-02  
1.63640000e+04  gen1perm8       4.75409330e+01  4.89330000e-02  1.59342800e+00  1.00910000e-02  6.96786700e+00  4.06910000e-02  
1.63680000e+04  gen5perm7       -2.29867513e+03 1.44753742e+02  -1.66243318e+02 2.75281641e+03  7.12452900e+00  3.71056000e+00  
1.64860000e+04  gen28perm5      -1.66826256e+06 6.83439504e+03  -1.98764924e+06 -3.23921439e+05 5.36988894e+05  4.77472049e+04  
1.65290000e+04  gen9perm3       -3.44012960e+01 7.82863790e+01  -1.52328097e+03 -5.57322791e+03 -1.10294955e+03 3.12507940e+01  
1.65370000e+04  gen6perm3       -1.63065340e+01 -2.75917222e+02 7.71580149e+02  -9.08109688e+02 -8.08752220e+01 1.70689810e+01  
1.65490000e+04  gen11perm3      6.13012805e+02  1.80085759e+03  -6.63671599e+03 6.30167628e+04  -2.70530996e+03 -1.20631909e+02 
1.65680000e+04  gen8perm7       2.69614424e+04  -5.60116783e+02 1.07400402e+03  -1.09008025e+04 -5.11042816e+02 -1.74682500e+01 
1.65740000e+04  gen5perm9       8.21305600e+00  1.31104107e+02  -1.74308930e+01 -1.05831489e+02 1.56998680e+01  -3.99331000e-01 
1.65790000e+04  gen4perm7       -3.87261040e+03 1.40103276e+02  -1.78147939e+02 2.21991406e+03  5.46747900e+00  2.84214200e+00  
1.65980000e+04  gen4perm4       -1.64333139e+02 -1.11089233e+02 -7.51698300e+00 2.11476404e+03  -5.49824500e+00 -1.20037005e+02 
1.66020000e+04  gen7perm4       8.95555145e+02  3.09202703e+02  2.63141540e+01  -4.37585580e+03 -2.52732562e+02 3.49955074e+02  
1.66130000e+04  gen21perm7      9.75676083e+06  -8.68904485e+04 6.63419107e+03  -3.15508987e+06 -1.65592389e+05 -2.78296055e+03 
1.66280000e+04  gen6perm2       1.38455006e+02  3.34765240e+01  1.01987211e+02  -1.54985630e+03 2.78009000e-01  1.59119800e+00  
1.66370000e+04  gen3perm3       -1.12328700e+00 1.22838229e+02  -3.03316952e+02 2.10720530e+03  3.38511100e+01  -1.11882100e+01 
1.66410000e+04  gen19perm3      2.03778033e+04  1.94045113e+04  -5.44890248e+04 1.61929824e+06  4.88918647e+03  -2.31692178e+03 
1.66620000e+04  gen3perm7       -1.91046887e+03 7.22464800e+01  -8.54747050e+01 9.08390407e+02  2.17250200e+00  1.16085800e+00  
1.66960000e+04  gen12perm7      -1.80902400e+05 9.23934256e+02  -4.85693981e+03 2.78240337e+04  1.34844757e+03  6.16359670e+01  
1.67030000e+04  gen12perm5      3.22782775e+03  -9.12457460e+01 -2.47480701e+03 1.43574541e+04  2.61495505e+02  -3.05180410e+01 
1.67460000e+04  gen18perm5      3.59687299e+04  -1.97280516e+03 -3.12641538e+04 1.31014856e+05  -2.00052568e+03 -3.71927230e+02 
1.67680000e+04  gen11perm2      -5.66192991e+03 2.68760280e+02  -9.95210028e+02 2.55260772e+04  7.15767520e+01  1.04020000e+01  
1.67830000e+04  gen10perm7      -1.43086239e+05 -2.35474100e+01 -1.25356096e+03 2.40050557e+03  -5.13914132e+02 -1.22809540e+01 
1.67910000e+04  gen21perm5      -1.50001873e+05 5.11541316e+03  -2.33416605e+04 -3.02127117e+05 1.31755146e+04  3.06815845e+02  
1.68240000e+04  gen9perm9       -3.66553015e+02 3.16752746e+02  -1.20717253e+02 4.86967815e+04  -1.41416677e+03 1.11457100e+00  
1.68280000e+04  gen14perm8      -3.39848447e+03 6.31879338e+03  -1.00619480e+01 5.06037753e+04  5.69570616e+03  1.34616693e+02  
1.68400000e+04  gen7perm5       -1.92670293e+02 6.47406450e+01  4.21866834e+02  8.20380724e+02  -2.48396620e+01 3.71894900e+00  
1.68700000e+04  gen9perm4       -1.07436979e+03 1.36843448e+02  -2.58316750e+01 3.62113760e+02  -1.05828201e+03 -3.84733705e+02 
1.68730000e+04  gen15perm2      3.05686213e+04  -6.52767650e+02 7.01022803e+03  -8.81724836e+03 -6.83421912e+03 -5.26377300e+01 
1.68840000e+04  gen11perm7      -2.13881995e+05 4.53214154e+02  -3.37758563e+03 2.49166298e+04  6.04681362e+02  2.39868820e+01  
1.68960000e+04  gen16perm7      8.67068357e+05  -3.87394677e+03 2.79410144e+04  -1.49260127e+05 -9.36317555e+03 -2.49647436e+02 
1.68980000e+04  gen12perm9      1.76308984e+03  1.46954589e+03  -6.74344789e+02 -6.73510325e+04 3.59464135e+03  4.96988700e+00  
1.69000000e+04  gen8perm5       -4.02326621e+02 7.99953970e+01  1.02722153e+03  -2.71873192e+02 -2.58349761e+02 7.01640700e+00  
1.69040000e+04  gen13perm7      4.04481732e+04  7.14560640e+02  -3.15365935e+03 -2.69800795e+04 6.63572331e+02  2.10125230e+01  
1.69050000e+04  gen20perm2      1.43455772e+05  -1.40671632e+03 3.83338063e+04  -3.35236739e+06 1.24074727e+05  2.66268865e+02  
1.69080000e+04  gen2perm3       4.01254000e-01  4.51608460e+01  -3.84931160e+01 5.68412064e+02  3.42046683e+02  1.07108300e+00  
1.69150000e+04  gen10perm3      2.25792822e+02  9.67431854e+02  -5.07591245e+03 2.35247699e+04  -2.35541727e+03 -3.51256200e+01 
1.69180000e+04  gen19perm5      4.03110319e+04  -3.54406885e+03 -9.17712029e+04 2.84763175e+05  1.95471841e+03  -7.41618222e+02 
1.69200000e+04  gen19perm2      -8.61014225e+04 3.63076015e+03  -1.64080192e+04 1.49135110e+05  5.22069154e+04  1.32591163e+02  
1.69210000e+04  gen20perm5      -3.26787443e+04 -2.21963058e+03 -8.68167538e+04 2.29448948e+05  9.13017753e+03  -6.08031763e+02 
1.69250000e+04  gen14perm5      -2.30335215e+03 1.34964009e+02  -1.67885565e+03 3.41472575e+03  6.90529830e+02  9.91298600e+00  
1.69280000e+04  gen15perm5      -6.73341800e+03 4.12608849e+02  1.00367245e+04  -2.53913192e+04 -2.33944413e+02 5.90304370e+01  
1.69410000e+04  gen7perm2       8.01111761e+02  7.14965000e-01  2.13367213e+02  -4.01619716e+03 -3.04451050e+01 1.17222200e+00  
1.69460000e+04  gen15perm7      1.04827940e+06  -4.90224293e+03 1.87176506e+04  -2.31898144e+05 -9.21262205e+03 -1.58016025e+02 
1.69570000e+04  gen7perm7       2.69225679e+04  -3.67718896e+02 6.98929225e+02  -4.69166929e+03 -1.02669900e+02 -3.49819300e+00 
1.69640000e+04  gen9perm5       -3.80636262e+02 6.28784420e+01  1.40822614e+03  -1.34590519e+03 -4.99618270e+02 6.94429500e+00  
1.69670000e+04  gen6perm5       1.67634340e+01  4.46521520e+01  -9.83750060e+01 1.43600014e+03  -6.51296500e+00 5.82357000e-01  
1.69680000e+04  gen10perm2      -2.26412257e+03 2.24615519e+02  -9.52982941e+02 1.72068842e+04  -1.24867719e+03 4.49830900e+00  
1.69800000e+04  gen14perm7      6.08654292e+05  -1.79461042e+03 6.31201815e+03  -1.48171367e+05 -3.77746197e+03 -3.17756610e+01 
1.69860000e+04  gen8perm2       1.24147217e+03  3.72459930e+01  1.49936115e+02  -3.37073660e+03 -5.06473095e+02 6.21285000e-01  
1.69870000e+04  gen13perm5      1.73978611e+03  -7.37416080e+01 -4.99239312e+03 1.64525338e+04  8.70510929e+02  -2.06194140e+01 
1.69910000e+04  gen16perm5      -5.04745494e+03 4.81296803e+02  2.26952477e+04  -5.13091695e+04 -1.88635680e+03 9.33449010e+01  
1.70000000e+04  gen14perm2      1.59110576e+04  -5.64586131e+02 5.52708194e+03  -1.71819850e+05 3.12502200e+03  -2.14195280e+01 
1.70110000e+04  gen14perm3      -3.13346921e+03 -5.88704112e+03 3.65630820e+04  -3.28751954e+05 7.30302173e+03  2.82694252e+02  
1.70190000e+04  gen2perm9       2.38910000e-02  6.57593200e+00  5.19453800e+00  9.72754568e+02  5.81312000e-01  8.48129000e-01  
1.70230000e+04  gen9perm2       8.48935711e+02  1.18982977e+02  -3.55284842e+02 4.17672589e+03  -1.10151817e+03 1.11257100e+00  
1.70260000e+04  gen6perm9       -1.33473610e+01 8.29957900e+00  1.06662550e+02  -1.02811605e+04 -1.05041950e+01 -4.11086000e-01 
1.70320000e+04  gen17perm2      -5.09816678e+04 2.07993393e+03  -1.14185025e+04 1.19889226e+06  -2.69578426e+04 -4.29259790e+01 
1.70350000e+04  gen10perm9      3.13370119e+02  1.12096083e+03  -1.08441729e+03 1.06087570e+05  -2.01512732e+03 3.59471200e+00  
1.70410000e+04  gen13perm2      4.37120667e+02  -1.36830025e+02 2.65086441e+03  -8.88784299e+04 5.81870195e+03  7.02511100e+00  
1.70440000e+04  gen8perm4       5.94001481e+02  3.23112795e+02  2.35625800e+01  -5.03989884e+03 -6.10132397e+02 3.85770049e+02  
1.70450000e+04  gen0perm2       1.16250303e+02  2.35834000e-01  1.16209250e+01  4.86361660e+01  8.24410000e-02  3.02490000e-02  
1.70450000e+04  gen1perm2       1.16250303e+02  2.35834000e-01  1.16209250e+01  4.86361660e+01  8.24410000e-02  3.02490000e-02  
1.70520000e+04  gen6perm4       3.53429263e+02  2.92274650e+01  8.74884300e+00  -1.19923816e+03 3.83361310e+01  1.47899858e+02  
1.70690000e+04  gen11perm9      1.09253874e+03  1.65086479e+03  -1.92133209e+03 1.18669814e+05  -3.44467408e+02 4.86045000e+00  
1.70710000e+04  gen5perm5       1.62344010e+01  3.14263050e+01  -3.29708257e+02 2.20541799e+03  6.70609700e+00  -7.05373000e-01 
1.70770000e+04  gen16perm9      -5.57113726e+03 -6.40776295e+02 -6.42436152e+03 1.83130924e+06  -4.84063969e+04 -1.11975070e+01 
1.70840000e+04  gen13perm3      -3.27789181e+02 -2.06956956e+03 2.51079725e+04  -7.97214582e+04 2.13240541e+03  -6.07617830e+01 
1.70960000e+04  gen7perm9       -2.17448107e+02 -1.12806854e+02 2.39317491e+02  -1.77039277e+04 -4.51791160e+01 -2.47087000e-01 
1.71030000e+04  gen10perm5      4.33428119e+02  3.22922840e+01  9.37768013e+02  6.06734830e+02  -4.66939838e+02 7.15618000e-01  
1.71110000e+04  gen2perm5       2.51190000e-02  3.03713400e+01  5.12065660e+01  6.61736480e+01  2.30175800e+00  1.15253400e+00  
1.71120000e+04  gen0perm7       9.83210123e+02  1.33150000e-02  4.94577130e+01  2.29829900e+00  4.85700000e-03  2.40170000e-02  
1.71120000e+04  gen1perm7       9.83210123e+02  1.33150000e-02  4.94577130e+01  2.29829900e+00  4.85700000e-03  2.40170000e-02  
1.71130000e+04  gen0perm5       7.12390000e-02  2.99929630e+01  1.45014958e+02  3.06207000e-01  1.14959000e-01  1.17967600e+00  
1.71130000e+04  gen1perm5       7.12390000e-02  2.99929630e+01  1.45014958e+02  3.06207000e-01  1.14959000e-01  1.17967600e+00  
1.71130000e+04  gen3perm9       2.72950000e-02  5.09404440e+01  -2.10081320e+01 2.88018259e+03  3.51782100e+00  4.08188000e-01  
1.71160000e+04  gen3perm5       -7.04660000e-02 3.10487050e+01  -1.13803825e+02 6.64677521e+02  4.82977400e+00  6.96510000e-01  
