Fit             Iteration       K1              K2              alpha           
1.29986000e-01  1613            7.35900000e-02  2.71315690e+01  7.30004000e-01  
1.34015000e-01  1551            6.98950000e-02  2.75414820e+01  7.31048000e-01  
1.34646000e-01  1414            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.37470000e-01  1227            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.40489000e-01  1366            7.35900000e-02  2.71315690e+01  7.30004000e-01  
1.40913000e-01  1286            7.39520000e-02  2.76714080e+01  7.28564000e-01  
1.41794000e-01  1382            7.25260000e-02  2.52230860e+01  7.28564000e-01  
1.42027000e-01  1523            7.39520000e-02  2.78695090e+01  7.28564000e-01  
1.43786000e-01  1635            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.44637000e-01  1393            6.23890000e-02  2.78695090e+01  7.15408000e-01  
1.46565000e-01  1500            7.25260000e-02  2.71134260e+01  7.28564000e-01  
1.47093000e-01  1411            5.84510000e-02  2.78695090e+01  7.10280000e-01  
1.47132000e-01  1509            6.97160000e-02  2.75414820e+01  7.28564000e-01  
1.47483000e-01  1285            5.84510000e-02  2.52230860e+01  7.10280000e-01  
1.48795000e-01  1374            7.39520000e-02  2.60510150e+01  7.28564000e-01  
1.48838000e-01  1394            7.10900000e-02  2.58864490e+01  7.28564000e-01  
1.48989000e-01  1457            7.25260000e-02  2.64729140e+01  7.28564000e-01  
1.50001000e-01  1547            7.12340000e-02  2.78695090e+01  7.28564000e-01  
1.50405000e-01  1618            7.10310000e-02  2.92265500e+01  7.30004000e-01  
1.51196000e-01  1534            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.51361000e-01  1265            7.58700000e-02  2.69911740e+01  7.28564000e-01  
1.52371000e-01  1097            7.39520000e-02  2.52230860e+01  7.28564000e-01  
1.53029000e-01  1338            7.39520000e-02  2.37072990e+01  7.28564000e-01  
1.53461000e-01  1634            7.39520000e-02  2.85289960e+01  7.34311000e-01  
1.53467000e-01  1528            7.33720000e-02  3.03955810e+01  7.27481000e-01  
1.53585000e-01  1546            7.25260000e-02  2.64729140e+01  7.28564000e-01  
1.53755000e-01  1159            7.35900000e-02  2.52763960e+01  7.34311000e-01  
1.53926000e-01  1590            7.44330000e-02  2.71315690e+01  7.28564000e-01  
1.53942000e-01  1342            7.39520000e-02  2.54729210e+01  7.34311000e-01  
1.53972000e-01  1373            7.33720000e-02  3.03955810e+01  7.28564000e-01  
1.54087000e-01  1451            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.54708000e-01  1589            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.55024000e-01  1432            7.35900000e-02  2.52763960e+01  7.34311000e-01  
1.55028000e-01  1544            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.55045000e-01  1594            7.55970000e-02  2.71134260e+01  7.28564000e-01  
1.55304000e-01  1526            7.58700000e-02  2.69911740e+01  7.28564000e-01  
1.55573000e-01  1141            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.56294000e-01  1612            7.10310000e-02  3.00110380e+01  7.28564000e-01  
1.56716000e-01  1230            7.10900000e-02  2.58864490e+01  7.28564000e-01  
1.56769000e-01  1616            6.98950000e-02  2.70244160e+01  7.28564000e-01  
1.56933000e-01  1499            6.98950000e-02  2.78695090e+01  7.28564000e-01  
1.56971000e-01  1013            5.84510000e-02  2.37269180e+01  7.10280000e-01  
1.57005000e-01  1407            6.22130000e-02  2.48816730e+01  7.10955000e-01  
1.57298000e-01  1203            6.58310000e-02  2.59091910e+01  7.28564000e-01  
1.57328000e-01  1462            7.14020000e-02  2.78695090e+01  7.28564000e-01  
1.57441000e-01  1564            7.58700000e-02  2.69911740e+01  7.44231000e-01  
1.57642000e-01  1513            7.33720000e-02  3.12406300e+01  7.28564000e-01  
1.57825000e-01  1464            7.39520000e-02  2.76714080e+01  7.28564000e-01  
1.57826000e-01  1299            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.57855000e-01  1349            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.57928000e-01  1628            7.39520000e-02  2.78695090e+01  7.28564000e-01  
1.57959000e-01  1435            7.39520000e-02  2.78695090e+01  7.28564000e-01  
1.57990000e-01  1533            7.39520000e-02  2.78695090e+01  7.28564000e-01  
1.58088000e-01  1236            6.82690000e-02  2.58864490e+01  7.34311000e-01  
1.58491000e-01  1568            7.25260000e-02  2.74569850e+01  7.28564000e-01  
1.58550000e-01  1518            7.39520000e-02  2.78535480e+01  7.28564000e-01  
1.58747000e-01  1607            7.25260000e-02  2.78695090e+01  7.28564000e-01  
1.58874000e-01  1301            6.72150000e-02  2.48816730e+01  7.28564000e-01  
1.59190000e-01  1571            7.03490000e-02  2.78695090e+01  7.28564000e-01  
1.59202000e-01  1442            7.18320000e-02  3.03955810e+01  7.28564000e-01  
1.59394000e-01  1365            7.25260000e-02  2.64729140e+01  7.28564000e-01  
1.59683000e-01  1621            6.98950000e-02  2.76714080e+01  7.28564000e-01  
1.60251000e-01  1348            7.29800000e-02  2.52230860e+01  7.28564000e-01  
1.60255000e-01  1281            6.23890000e-02  2.78695090e+01  7.15408000e-01  
1.60996000e-01  1351            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.61595000e-01  1536            7.39520000e-02  2.76714080e+01  7.28564000e-01  
1.61630000e-01  1243            7.35900000e-02  2.52763960e+01  7.34311000e-01  
1.61634000e-01  962             7.10140000e-02  2.37269180e+01  7.34311000e-01  
1.61907000e-01  1418            7.58700000e-02  2.69911740e+01  7.28564000e-01  
1.61977000e-01  1326            7.39520000e-02  2.52230860e+01  7.28564000e-01  
1.62137000e-01  1327            7.10510000e-02  2.52230860e+01  7.28564000e-01  
1.62154000e-01  1498            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.62304000e-01  1608            6.97530000e-02  2.78695090e+01  7.15408000e-01  
1.62618000e-01  1481            7.76810000e-02  2.78695090e+01  7.28564000e-01  
1.62745000e-01  1502            5.84510000e-02  2.71315690e+01  7.10280000e-01  
1.62809000e-01  1220            7.10140000e-02  2.58864490e+01  7.28564000e-01  
1.63504000e-01  1237            7.10140000e-02  2.49053040e+01  7.28564000e-01  
1.63876000e-01  1565            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.64029000e-01  1573            7.12340000e-02  2.78535480e+01  7.28564000e-01  
1.64062000e-01  1453            7.39520000e-02  2.76714080e+01  7.28564000e-01  
1.64294000e-01  1280            7.10140000e-02  2.58864490e+01  7.34311000e-01  
1.64410000e-01  1284            6.58310000e-02  2.59091910e+01  7.28564000e-01  
1.64669000e-01  1517            7.35900000e-02  2.58864490e+01  7.30004000e-01  
1.65050000e-01  1023            7.25260000e-02  2.49027360e+01  7.28564000e-01  
1.65196000e-01  1529            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.65349000e-01  1433            7.39520000e-02  2.76714080e+01  7.28564000e-01  
1.65643000e-01  1470            7.10140000e-02  2.55766660e+01  7.28564000e-01  
1.66074000e-01  1617            6.90050000e-02  2.78695090e+01  7.28564000e-01  
1.66404000e-01  1585            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.66568000e-01  1359            7.35900000e-02  2.52230860e+01  7.28564000e-01  
1.66803000e-01  1574            7.10900000e-02  2.58864490e+01  7.28564000e-01  
1.66885000e-01  1577            7.13250000e-02  2.60510150e+01  7.28564000e-01  
1.67240000e-01  1537            7.10900000e-02  2.64729140e+01  7.28564000e-01  
1.67249000e-01  1303            7.15140000e-02  2.58864490e+01  7.28564000e-01  
1.67252000e-01  1361            6.82690000e-02  2.78956450e+01  7.28564000e-01  
1.67451000e-01  1391            7.11840000e-02  2.49053040e+01  7.28564000e-01  
1.67510000e-01  1497            6.82690000e-02  2.58864490e+01  7.28564000e-01  
1.67697000e-01  1167            7.22220000e-02  2.37269180e+01  7.34311000e-01  
1.67752000e-01  1446            7.39520000e-02  2.58864490e+01  7.34311000e-01  
1.67791000e-01  1519            6.98950000e-02  2.92205690e+01  7.28564000e-01  
1.67835000e-01  1355            6.72150000e-02  2.59091910e+01  7.28564000e-01  
1.67977000e-01  1632            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.68326000e-01  1506            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.68563000e-01  1369            7.10140000e-02  2.78695090e+01  7.28564000e-01  
1.68621000e-01  1353            6.58310000e-02  2.59091910e+01  7.28564000e-01  
1.68745000e-01  1485            7.35900000e-02  2.67620660e+01  7.34311000e-01  
1.68989000e-01  1625            7.39520000e-02  2.60444480e+01  7.28564000e-01  
1.69404000e-01  1466            7.71520000e-02  2.58864490e+01  7.28564000e-01  
1.69437000e-01  995             7.39520000e-02  2.52230860e+01  7.28564000e-01  
1.69498000e-01  1135            6.82690000e-02  2.37269180e+01  7.28564000e-01  
1.69603000e-01  1504            6.98950000e-02  2.71315690e+01  7.30004000e-01  
1.69677000e-01  1639            7.09940000e-02  2.78695090e+01  7.15408000e-01  
1.69823000e-01  1431            7.25260000e-02  2.57995070e+01  7.28564000e-01  
1.69939000e-01  1520            7.10310000e-02  2.52230860e+01  7.28564000e-01  
1.70180000e-01  1439            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.70387000e-01  1380            7.10310000e-02  2.54883610e+01  7.40771000e-01  
1.70615000e-01  1335            7.10140000e-02  2.58864490e+01  7.34311000e-01  
1.70841000e-01  1434            7.17450000e-02  2.58089010e+01  7.28564000e-01  
1.70880000e-01  1550            7.10900000e-02  2.78695090e+01  7.15408000e-01  
1.71465000e-01  1436            7.13130000e-02  2.87149700e+01  7.28564000e-01  
1.71630000e-01  1561            7.53790000e-02  2.69911740e+01  7.28564000e-01  
1.71902000e-01  1222            5.84510000e-02  2.48816730e+01  7.10280000e-01  
1.72050000e-01  1253            6.72150000e-02  2.46951360e+01  7.28564000e-01  
1.72372000e-01  1169            6.82690000e-02  2.52230860e+01  7.28564000e-01  
1.72397000e-01  1587            5.84510000e-02  2.52230860e+01  7.10280000e-01  
1.72611000e-01  1516            7.14020000e-02  2.58864490e+01  7.28564000e-01  
1.72612000e-01  1183            6.82690000e-02  2.75414820e+01  7.28564000e-01  
1.72679000e-01  1312            7.10310000e-02  2.59091910e+01  7.28564000e-01  
1.73014000e-01  1307            7.35900000e-02  2.52230860e+01  7.34311000e-01  
1.73295000e-01  1538            7.58700000e-02  2.78695090e+01  7.28564000e-01  
1.73620000e-01  1144            7.39520000e-02  2.67162800e+01  7.28564000e-01  
1.73709000e-01  1260            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.73749000e-01  1490            7.39520000e-02  2.54743660e+01  7.34311000e-01  
1.73787000e-01  1636            7.10310000e-02  2.78695090e+01  7.10280000e-01  
1.73792000e-01  1201            6.82690000e-02  2.52230860e+01  7.28564000e-01  
1.73794000e-01  1430            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.73817000e-01  1429            7.10310000e-02  2.52763960e+01  7.34311000e-01  
1.73993000e-01  1122            6.74440000e-02  2.37269180e+01  7.28564000e-01  
1.74475000e-01  1471            7.35900000e-02  2.52763960e+01  7.28564000e-01  
1.74512000e-01  1310            7.10140000e-02  2.40527370e+01  7.28564000e-01  
1.74699000e-01  1595            7.10900000e-02  2.78695090e+01  7.28564000e-01  
1.74717000e-01  1256            7.35900000e-02  2.52763960e+01  7.28564000e-01  
1.74782000e-01  1593            6.97160000e-02  2.75414820e+01  7.28564000e-01  
1.75250000e-01  1420            7.10900000e-02  2.58864490e+01  7.28564000e-01  
1.75325000e-01  1223            7.15140000e-02  2.52230860e+01  7.46066000e-01  
1.75502000e-01  921             6.82690000e-02  2.26910520e+01  7.34311000e-01  
1.75507000e-01  1562            7.10900000e-02  2.71880970e+01  7.28564000e-01  
