Fit             Iteration       K1              K2              alpha           
5.65460000e-01  14              1.72947000e-01  8.05160400e+00  9.91818000e-01  
9.11145000e-01  8               1.27354100e+00  1.63483200e+00  1.09657800e+00  
1.05627400e+00  6               1.15404400e+00  4.37204100e+00  9.76683000e-01  
1.13760200e+00  10              5.14799800e+00  1.36360600e+00  1.41462300e+00  
1.16950000e+00  15              8.21935000e-01  6.91197600e+00  8.93092000e-01  
1.16983800e+00  3               5.46937000e-01  1.31656900e+00  9.52430000e-01  
1.21498900e+00  2               3.39680000e-02  1.98524800e+00  8.21523000e-01  
1.25432200e+00  18              1.58449000e+00  2.01990670e+01  1.40411000e+00  
1.46483900e+00  9               4.93077000e-01  3.60696300e+00  8.33643000e-01  
1.91879600e+00  4               6.86400000e-03  6.60419500e+00  8.08721000e-01  
2.20945000e+00  7               5.86540000e-02  1.33518100e+00  1.49275500e+00  
2.37187100e+00  1               2.21410000e-02  1.13245100e+00  1.27281100e+00  
2.40439800e+00  12              7.10395200e+00  6.32281000e+00  8.42621000e-01  
2.82246900e+00  19              6.35600000e-03  1.81771510e+01  1.19063600e+00  
3.96644600e+00  16              4.64847910e+01  9.83849300e+00  7.15848000e-01  
4.03499500e+00  11              2.03539500e+00  3.02868600e+00  6.52240000e-01  
4.27031100e+00  13              2.16345760e+01  2.98948800e+00  6.91211000e-01  
4.29463200e+00  5               9.04676000e-01  8.85276000e-01  6.22708000e-01  
5.89904900e+00  17              2.53968600e+00  1.49515810e+01  5.06370000e-01  
