Fit             Iteration       K1              K2              alpha           
1.43775000e-01  2124            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.43786000e-01  1635            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.43870000e-01  1763            6.97160000e-02  2.78695090e+01  7.28564000e-01  
1.43880000e-01  2262            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.43947000e-01  2473            7.35900000e-02  2.86622130e+01  7.28564000e-01  
1.44129000e-01  2697            7.81830000e-02  3.29434560e+01  7.28564000e-01  
1.44296000e-01  1957            7.10900000e-02  2.91459810e+01  7.30004000e-01  
1.44332000e-01  2330            7.35900000e-02  3.10252660e+01  7.28564000e-01  
1.44637000e-01  1393            6.23890000e-02  2.78695090e+01  7.15408000e-01  
1.44640000e-01  2373            7.17340000e-02  2.78695090e+01  7.28564000e-01  
1.44871000e-01  2155            7.25260000e-02  2.89395920e+01  7.10280000e-01  
1.44938000e-01  2465            7.63350000e-02  3.02844800e+01  7.31048000e-01  
1.45079000e-01  2370            7.69760000e-02  2.93171740e+01  7.28564000e-01  
1.45244000e-01  2221            7.39520000e-02  2.91459810e+01  7.17272000e-01  
1.45266000e-01  2675            7.69760000e-02  2.78695090e+01  7.30004000e-01  
1.45434000e-01  2018            7.82480000e-02  2.84186590e+01  7.28564000e-01  
1.45482000e-01  2493            7.35900000e-02  2.96797880e+01  7.28564000e-01  
1.45875000e-01  2581            7.69760000e-02  2.96315610e+01  7.28564000e-01  
1.45909000e-01  2355            5.84510000e-02  2.86669730e+01  7.10280000e-01  
1.46004000e-01  2417            7.35900000e-02  3.16424700e+01  7.28564000e-01  
1.46162000e-01  2621            6.75090000e-02  2.58864490e+01  7.28564000e-01  
1.46177000e-01  2028            7.35900000e-02  2.93991510e+01  7.28564000e-01  
1.46231000e-01  2184            7.35900000e-02  2.96797880e+01  7.28564000e-01  
1.46234000e-01  1717            5.84510000e-02  2.78695090e+01  7.10280000e-01  
1.46244000e-01  2249            7.16160000e-02  2.84186590e+01  7.28564000e-01  
1.46393000e-01  2547            7.12340000e-02  2.96797880e+01  7.28564000e-01  
1.46496000e-01  1831            7.25260000e-02  2.71134260e+01  7.28564000e-01  
1.46565000e-01  1500            7.25260000e-02  2.71134260e+01  7.28564000e-01  
