Fit             Iteration       K1              K2              alpha           
3.06497000e-01  20              6.76470000e-02  1.78162750e+01  7.28564000e-01  
4.59849000e-01  31              3.53265000e-01  7.61429610e+01  9.04246000e-01  
5.32510000e-01  28              1.34717670e+01  1.60414951e+02  1.13385400e+00  
5.65460000e-01  14              1.72947000e-01  8.05160400e+00  9.91818000e-01  
7.83297000e-01  22              1.49030230e+01  6.12844330e+01  1.25659300e+00  
9.11145000e-01  8               1.27354100e+00  1.63483200e+00  1.09657800e+00  
9.47957000e-01  36              9.37643600e+00  3.33733870e+03  7.04250000e-01  
9.82945000e-01  34              8.56170000e-01  2.41762342e+02  1.00576800e+00  
1.05627400e+00  6               1.15404400e+00  4.37204100e+00  9.76683000e-01  
1.13760200e+00  10              5.14799800e+00  1.36360600e+00  1.41462300e+00  
1.16950000e+00  15              8.21935000e-01  6.91197600e+00  8.93092000e-01  
1.16983800e+00  3               5.46937000e-01  1.31656900e+00  9.52430000e-01  
1.21498900e+00  2               3.39680000e-02  1.98524800e+00  8.21523000e-01  
1.25432200e+00  18              1.58449000e+00  2.01990670e+01  1.40411000e+00  
1.37075400e+00  32              4.65870800e+00  3.61509370e+02  1.29230400e+00  
1.39770300e+00  26              3.79877800e+00  7.52544560e+01  1.44326800e+00  
1.46483900e+00  9               4.93077000e-01  3.60696300e+00  8.33643000e-01  
1.70856200e+00  38              2.97318800e+00  1.50790638e+03  5.88795000e-01  
1.73252300e+00  37              7.96370000e-02  2.45730773e+02  9.67226000e-01  
1.89698400e+00  35              2.43000970e+01  3.90528541e+03  1.42386300e+00  
1.91879600e+00  4               6.86400000e-03  6.60419500e+00  8.08721000e-01  
1.93394800e+00  23              1.56443000e-01  2.17100270e+01  1.37283700e+00  
2.09158000e+00  39              2.93778000e-01  5.44270878e+02  1.16523700e+00  
2.17049800e+00  25              2.36972620e+01  1.11088161e+02  8.09781000e-01  
2.20945000e+00  7               5.86540000e-02  1.33518100e+00  1.49275500e+00  
2.25420600e+00  27              3.14710090e+01  1.95935236e+02  7.81642000e-01  
2.37187100e+00  1               2.21410000e-02  1.13245100e+00  1.27281100e+00  
2.40439800e+00  12              7.10395200e+00  6.32281000e+00  8.42621000e-01  
2.78373000e+00  30              5.85161000e-01  4.91214240e+01  5.70304000e-01  
2.82246900e+00  19              6.35600000e-03  1.81771510e+01  1.19063600e+00  
3.66603600e+00  29              1.76441920e+01  2.84603925e+02  6.04096000e-01  
3.84481300e+00  33              2.67141680e+01  1.45420570e+03  5.42332000e-01  
3.94950400e+00  21              6.48213400e+00  5.01625920e+01  6.15119000e-01  
3.96644600e+00  16              4.64847910e+01  9.83849300e+00  7.15848000e-01  
4.03499500e+00  11              2.03539500e+00  3.02868600e+00  6.52240000e-01  
4.16737000e+00  24              8.85133000e+00  9.22210550e+01  5.88314000e-01  
4.27031100e+00  13              2.16345760e+01  2.98948800e+00  6.91211000e-01  
4.29463200e+00  5               9.04676000e-01  8.85276000e-01  6.22708000e-01  
5.89904900e+00  17              2.53968600e+00  1.49515810e+01  5.06370000e-01  
