Fit             Iteration       K1              K2              alpha           
9.11145000e-01  8               1.27354100e+00  1.63483200e+00  1.09657800e+00  
1.05627400e+00  6               1.15404400e+00  4.37204100e+00  9.76683000e-01  
1.16983800e+00  3               5.46937000e-01  1.31656900e+00  9.52430000e-01  
1.21498900e+00  2               3.39680000e-02  1.98524800e+00  8.21523000e-01  
1.46483900e+00  9               4.93077000e-01  3.60696300e+00  8.33643000e-01  
1.91879600e+00  4               6.86400000e-03  6.60419500e+00  8.08721000e-01  
2.20945000e+00  7               5.86540000e-02  1.33518100e+00  1.49275500e+00  
2.37187100e+00  1               2.21410000e-02  1.13245100e+00  1.27281100e+00  
4.29463200e+00  5               9.04676000e-01  8.85276000e-01  6.22708000e-01  
