Fit             Iteration       K1              K2              alpha           
2.87123000e-01  133             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.02470000e-01  71              6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.04869000e-01  189             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.06497000e-01  20              6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.07446000e-01  134             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.23847000e-01  157             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.28294000e-01  74              6.76470000e-02  1.78162750e+01  7.28564000e-01  
4.36618000e-01  143             6.76470000e-02  1.78162750e+01  7.03431000e-01  
4.38581000e-01  75              1.56443000e-01  2.17100270e+01  8.97311000e-01  
4.57393000e-01  129             6.76470000e-02  1.63499410e+01  7.03276000e-01  
4.59849000e-01  31              3.53265000e-01  7.61429610e+01  9.04246000e-01  
4.92279000e-01  131             6.76470000e-02  1.90303100e+01  6.83805000e-01  
4.96977000e-01  167             4.93077000e-01  8.05160400e+00  9.87934000e-01  
5.32510000e-01  28              1.34717670e+01  1.60414951e+02  1.13385400e+00  
5.37759000e-01  184             8.85133000e+00  1.51607474e+02  1.13385400e+00  
5.51699000e-01  79              3.79877800e+00  7.52544560e+01  1.13385400e+00  
5.57507000e-01  81              1.76441920e+01  1.51607474e+02  1.13385400e+00  
5.61980000e-01  63              1.72947000e-01  8.05160400e+00  9.91818000e-01  
5.63200000e-01  62              1.72947000e-01  8.05160400e+00  9.91818000e-01  
5.65460000e-01  14              1.72947000e-01  8.05160400e+00  9.91818000e-01  
5.70108000e-01  77              1.72947000e-01  8.05160400e+00  9.91818000e-01  
5.87784000e-01  182             7.42010000e-02  6.91197600e+00  7.96600000e-01  
5.89972000e-01  155             1.66862000e-01  7.43254100e+00  9.91818000e-01  
5.94132000e-01  126             1.72947000e-01  8.05160400e+00  9.91818000e-01  
5.98940000e-01  88              1.72947000e-01  8.05160400e+00  9.91818000e-01  
6.09573000e-01  152             1.72947000e-01  3.69542000e+00  9.91818000e-01  
6.14167000e-01  145             1.72947000e-01  3.78878600e+00  9.80700000e-01  
6.42736000e-01  128             1.72947000e-01  3.69542000e+00  9.87934000e-01  
6.43571000e-01  168             3.53265000e-01  8.05160400e+00  9.04246000e-01  
6.45511000e-01  110             3.53265000e-01  8.05160400e+00  9.04246000e-01  
6.51192000e-01  87              1.36210820e+01  7.52544560e+01  1.13385400e+00  
