Fit             Iteration       K1              K2              alpha           
2.45121000e-01  301             6.51870000e-02  1.83696140e+01  7.28564000e-01  
2.56948000e-01  320             6.86600000e-02  1.81499210e+01  7.61468000e-01  
2.65029000e-01  333             6.76470000e-02  1.78162750e+01  7.46217000e-01  
2.67441000e-01  313             1.72947000e-01  1.80516760e+01  8.45420000e-01  
2.71835000e-01  321             6.76470000e-02  1.90303100e+01  7.28564000e-01  
2.73040000e-01  311             6.76470000e-02  1.97800880e+01  7.28564000e-01  
2.77309000e-01  266             1.72947000e-01  1.80516760e+01  8.45420000e-01  
2.77463000e-01  299             6.76470000e-02  1.95699170e+01  7.28564000e-01  
2.81613000e-01  327             6.51870000e-02  1.83696140e+01  7.28564000e-01  
2.83882000e-01  293             6.51870000e-02  1.83696140e+01  7.28564000e-01  
2.84017000e-01  246             6.76470000e-02  1.78162750e+01  7.28564000e-01  
2.84664000e-01  316             6.76470000e-02  1.78162750e+01  7.28564000e-01  
2.86371000e-01  356             6.76470000e-02  1.77473270e+01  7.59930000e-01  
2.86759000e-01  287             6.76470000e-02  1.78162750e+01  7.28564000e-01  
2.87123000e-01  133             6.76470000e-02  1.78162750e+01  7.28564000e-01  
2.89338000e-01  247             6.51870000e-02  1.83696140e+01  7.28564000e-01  
2.90773000e-01  359             6.82690000e-02  1.83696140e+01  7.28564000e-01  
2.92323000e-01  261             6.76470000e-02  1.78162750e+01  7.28564000e-01  
2.92939000e-01  258             6.76470000e-02  1.78162750e+01  7.28564000e-01  
2.92964000e-01  355             6.63590000e-02  1.83822220e+01  7.28564000e-01  
2.93952000e-01  279             6.76470000e-02  1.78162750e+01  7.28564000e-01  
2.94917000e-01  352             6.76470000e-02  1.78162750e+01  7.28564000e-01  
2.94944000e-01  264             6.76470000e-02  1.78162750e+01  7.28564000e-01  
2.96466000e-01  331             6.76470000e-02  1.78162750e+01  7.28564000e-01  
2.97718000e-01  338             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.00292000e-01  310             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.02089000e-01  260             6.76470000e-02  1.76536980e+01  7.28564000e-01  
3.02150000e-01  315             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.02470000e-01  71              6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.04727000e-01  347             6.38200000e-02  1.78162750e+01  7.28564000e-01  
3.04869000e-01  189             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.05712000e-01  324             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.06430000e-01  345             6.76470000e-02  1.83696140e+01  7.28564000e-01  
3.06497000e-01  20              6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.07446000e-01  134             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.08047000e-01  268             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.11205000e-01  341             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.11367000e-01  265             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.11981000e-01  300             6.51870000e-02  1.71980760e+01  7.28564000e-01  
3.12638000e-01  334             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.13542000e-01  303             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.14053000e-01  190             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.16702000e-01  346             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.17275000e-01  234             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.17407000e-01  254             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.18636000e-01  295             6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.19693000e-01  357             8.85133000e+00  5.44270878e+02  9.07636000e-01  
3.20544000e-01  308             6.76470000e-02  1.78162750e+01  7.27654000e-01  
3.21266000e-01  353             6.73730000e-02  1.71980760e+01  7.28564000e-01  
