Fit             Iteration       K1              K2              alpha           
3.02470000e-01  71              6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.06497000e-01  20              6.76470000e-02  1.78162750e+01  7.28564000e-01  
3.28294000e-01  74              6.76470000e-02  1.78162750e+01  7.28564000e-01  
4.38581000e-01  75              1.56443000e-01  2.17100270e+01  8.97311000e-01  
4.59849000e-01  31              3.53265000e-01  7.61429610e+01  9.04246000e-01  
5.32510000e-01  28              1.34717670e+01  1.60414951e+02  1.13385400e+00  
5.51699000e-01  79              3.79877800e+00  7.52544560e+01  1.13385400e+00  
5.61980000e-01  63              1.72947000e-01  8.05160400e+00  9.91818000e-01  
5.63200000e-01  62              1.72947000e-01  8.05160400e+00  9.91818000e-01  
5.65460000e-01  14              1.72947000e-01  8.05160400e+00  9.91818000e-01  
5.70108000e-01  77              1.72947000e-01  8.05160400e+00  9.91818000e-01  
7.34726000e-01  72              4.93077000e-01  3.60696300e+00  9.87934000e-01  
7.83297000e-01  22              1.49030230e+01  6.12844330e+01  1.25659300e+00  
8.59532000e-01  46              4.23610000e-02  9.64355545e+02  6.74522000e-01  
9.11145000e-01  8               1.27354100e+00  1.63483200e+00  1.09657800e+00  
9.47957000e-01  36              9.37643600e+00  3.33733870e+03  7.04250000e-01  
9.77716000e-01  68              4.23610000e-02  6.91197600e+00  8.93092000e-01  
9.82945000e-01  34              8.56170000e-01  2.41762342e+02  1.00576800e+00  
1.01471700e+00  44              3.14180000e-02  5.46676704e+02  7.03431000e-01  
1.05627400e+00  6               1.15404400e+00  4.37204100e+00  9.76683000e-01  
1.05711200e+00  59              1.66619000e+00  1.36360600e+00  1.37444300e+00  
1.11691700e+00  66              5.14799800e+00  2.01990670e+01  1.41462300e+00  
1.13706800e+00  64              5.14799800e+00  1.36360600e+00  1.41462300e+00  
1.13760200e+00  10              5.14799800e+00  1.36360600e+00  1.41462300e+00  
1.14224300e+00  56              2.20476920e+01  1.13245100e+00  1.27281100e+00  
1.15416400e+00  60              8.21935000e-01  6.91197600e+00  8.93092000e-01  
1.16950000e+00  15              8.21935000e-01  6.91197600e+00  8.93092000e-01  
1.16983800e+00  3               5.46937000e-01  1.31656900e+00  9.52430000e-01  
1.20136800e+00  45              2.24027400e+00  3.85822738e+03  8.82135000e-01  
1.21498900e+00  2               3.39680000e-02  1.98524800e+00  8.21523000e-01  
1.25432200e+00  18              1.58449000e+00  2.01990670e+01  1.40411000e+00  
1.37075400e+00  32              4.65870800e+00  3.61509370e+02  1.29230400e+00  
1.39759000e+00  73              2.43000970e+01  7.18383850e+01  1.57055500e+00  
1.39770300e+00  26              3.79877800e+00  7.52544560e+01  1.44326800e+00  
1.45997200e+00  42              1.04750000e-02  3.42598206e+03  7.47934000e-01  
1.46483900e+00  9               4.93077000e-01  3.60696300e+00  8.33643000e-01  
1.50602000e+00  57              4.92860000e-01  3.44307000e+00  8.33643000e-01  
1.65501500e+00  51              4.13936000e-01  1.98524800e+00  8.21523000e-01  
1.70856200e+00  38              2.97318800e+00  1.50790638e+03  5.88795000e-01  
1.73252300e+00  37              7.96370000e-02  2.45730773e+02  9.67226000e-01  
1.81607300e+00  58              2.24027400e+00  4.62707600e+00  8.82135000e-01  
1.86220000e+00  41              1.22803000e-01  4.28810225e+02  1.01535700e+00  
1.88030400e+00  70              1.15404400e+00  4.37204100e+00  8.25924000e-01  
1.89461500e+00  78              6.86400000e-03  6.60419500e+00  8.08721000e-01  
1.89698400e+00  35              2.43000970e+01  3.90528541e+03  1.42386300e+00  
1.91533900e+00  52              6.86400000e-03  6.60419500e+00  8.08721000e-01  
1.91879600e+00  4               6.86400000e-03  6.60419500e+00  8.08721000e-01  
1.92490000e+00  76              1.56443000e-01  2.17100270e+01  1.37283700e+00  
1.93394800e+00  23              1.56443000e-01  2.17100270e+01  1.37283700e+00  
1.93933500e+00  67              6.29430000e-02  1.23921500e+00  1.35843800e+00  
1.99620000e+00  53              1.83890000e-02  1.63483200e+00  1.03117000e+00  
2.05065900e+00  50              4.13936000e-01  2.57975601e+03  1.09259100e+00  
2.09158000e+00  39              2.93778000e-01  5.44270878e+02  1.16523700e+00  
2.17049800e+00  25              2.36972620e+01  1.11088161e+02  8.09781000e-01  
2.20945000e+00  7               5.86540000e-02  1.33518100e+00  1.49275500e+00  
2.21609400e+00  48              3.88320000e-02  2.62242911e+03  1.05474600e+00  
2.22784800e+00  54              5.86540000e-02  1.46723600e+00  1.49275500e+00  
