Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
2.26998534e+03  967             5.50059530e+02  7.44324582e+02  6.50443605e+02  8.18093541e+02  2.99807563e+02  5.76290674e+02  
2.27493013e+03  492             8.44841755e+02  8.65539149e+02  3.02448493e+02  2.51231763e+02  5.29486352e+02  2.69163565e+02  
2.28070887e+03  944             8.96049603e+02  3.46031366e+02  9.38805463e+02  9.52896225e+02  9.05871605e+02  9.34654838e+02  
2.28078006e+03  754             1.75457125e+02  9.52200818e+02  6.88813103e+02  7.96193029e+02  8.24260768e+02  7.17845007e+02  
2.28553531e+03  471             1.97576565e+02  2.39699245e+02  5.83640098e+02  7.62810885e+02  5.46156741e+02  5.13222347e+02  
2.28671776e+03  870             9.11710827e+02  1.02895404e+02  9.53816460e+02  1.25599707e+02  1.23438770e+01  9.94624441e+02  
2.29209038e+03  652             1.02690223e+02  5.41521948e+02  4.46810888e+02  4.53411440e+02  9.62598778e+02  4.91429569e+02  
2.29521097e+03  574             7.23025599e+02  6.49472110e+02  8.74791211e+02  6.26694814e+02  7.39559851e+02  7.60161759e+02  
2.29968074e+03  486             4.77312730e+02  4.30836621e+02  7.97240162e+02  4.85173532e+02  4.83420889e+02  6.89023925e+02  
2.30681923e+03  648             9.51715100e+02  9.00032263e+02  7.06746097e+02  1.96042310e+01  4.43962504e+02  6.92287514e+02  
2.31882590e+03  475             7.26888334e+02  9.76515257e+02  2.62218766e+02  3.09198742e+02  8.12064418e+02  2.29649405e+02  
2.32248852e+03  894             3.48331179e+02  5.21975470e+01  5.75753338e+02  9.66837380e+02  4.75984144e+02  4.91170766e+02  
2.32756214e+03  310             1.79273785e+02  2.78778170e+01  2.16071704e+02  5.66962318e+02  1.01813358e+02  2.37986746e+02  
2.32823448e+03  154             8.41040115e+02  9.42140935e+02  8.86031086e+02  1.12995000e-01  7.33005430e+01  8.96646543e+02  
2.32988971e+03  517             7.27832768e+02  3.45353066e+02  6.09028254e+02  3.09342747e+02  9.25016061e+02  6.19896732e+02  
2.33940304e+03  818             5.42494576e+02  9.25636187e+02  8.99713617e+02  9.72327022e+02  1.80569097e+02  7.82107213e+02  
2.35897400e+03  898             7.53291560e+01  1.04412952e+02  9.60549334e+02  9.25165430e+02  3.79832918e+02  8.69429838e+02  
2.37376033e+03  849             9.27020563e+02  4.78244707e+02  9.79578933e+02  9.57407458e+02  4.12759146e+02  8.20435823e+02  
2.37467612e+03  928             3.01354779e+02  1.74421793e+02  8.66632356e+02  9.92335566e+02  7.01574803e+02  7.34001903e+02  
2.37682394e+03  534             2.82597604e+02  1.42128342e+02  8.60173186e+02  4.51184285e+02  8.74434835e+02  9.25315395e+02  
2.38597941e+03  966             8.51372152e+02  1.81021510e+01  8.89288596e+02  4.97020897e+02  6.37780611e+02  7.33617453e+02  
2.38621343e+03  462             3.65138301e+02  7.17165693e+02  4.32937027e+02  4.00500718e+02  9.17186999e+02  4.53164022e+02  
2.39455336e+03  402             1.79270254e+02  2.08590060e+01  4.72918680e+02  4.35799656e+02  4.78058000e+01  4.10477065e+02  
2.39742853e+03  759             8.73811312e+02  7.64215210e+01  6.47842879e+02  9.25009206e+02  9.13958814e+02  6.73654704e+02  
2.41053567e+03  472             2.30139325e+02  2.30010311e+02  8.35821674e+02  1.20318488e+02  7.50296842e+02  9.14713110e+02  
2.42573290e+03  875             3.54912390e+02  5.71314048e+02  8.11782071e+02  8.46366798e+02  5.90025239e+02  6.83217961e+02  
2.44523867e+03  893             3.34020744e+02  6.40483322e+02  2.49651318e+02  8.13049027e+02  5.09285643e+02  2.67054307e+02  
2.44704168e+03  668             1.34652198e+02  3.44410211e+02  5.83233237e+02  4.32629855e+02  2.17816807e+02  6.72485143e+02  
2.45805601e+03  543             7.63884840e+02  6.23615939e+02  9.49024013e+02  1.92058015e+02  8.66688623e+02  7.81835655e+02  
2.47008671e+03  619             3.35705408e+02  6.24903518e+02  2.83724160e+02  9.26657750e+02  1.45085996e+02  3.07680584e+02  
2.47272401e+03  791             5.06851928e+02  9.41744190e+01  8.59480402e+02  7.48584403e+02  2.85514116e+02  9.30664489e+02  
2.47280430e+03  219             2.33447648e+02  8.96137580e+02  8.53776124e+02  1.39888729e+02  6.46891530e+02  9.33589823e+02  
2.47604301e+03  909             1.29285849e+02  3.45803647e+02  5.17905300e+02  4.33749676e+02  5.10602904e+02  5.93424429e+02  
2.47895184e+03  797             6.75054517e+02  7.62098133e+02  7.55345900e+01  1.91001285e+02  6.70231612e+02  6.22286820e+01  
2.49272012e+03  356             1.79319591e+02  6.06950259e+02  4.65249537e+02  3.68065751e+02  4.60656000e-01  5.72885702e+02  
2.51075167e+03  856             7.31384546e+02  6.88473060e+01  8.82829247e+02  2.51537028e+02  2.12648950e+01  7.19110531e+02  
2.52046388e+03  585             5.15322395e+02  4.69975763e+02  7.86007618e+02  2.07015324e+02  9.17147123e+02  8.47330663e+02  
2.53145038e+03  536             9.79947051e+02  8.93910753e+02  7.31179029e+02  6.40022757e+02  9.63989651e+02  7.67973953e+02  
2.53188356e+03  589             1.69372495e+02  4.14439698e+02  5.88145131e+02  5.95315623e+02  9.52857540e+01  6.89870608e+02  
2.53270327e+03  974             3.83127591e+02  4.71611432e+02  8.30024651e+02  4.81414777e+02  3.84785880e+02  9.11520331e+02  
2.56227157e+03  252             7.21797089e+02  2.78727880e+01  2.19390622e+02  8.48201307e+02  4.89424739e+02  2.37985807e+02  
2.56436374e+03  552             2.41846510e+01  5.94720113e+02  4.70181906e+02  1.18877830e+02  1.33098650e+02  7.03667699e+02  
2.56643326e+03  612             9.39732731e+02  4.07937523e+02  5.81729234e+02  7.87406840e+01  7.85221970e+02  6.23585422e+02  
2.56713444e+03  469             8.55497330e+01  9.42171155e+02  6.37284701e+02  8.72389921e+02  1.26125590e+01  8.50264461e+02  
2.57319769e+03  577             8.91136040e+02  1.39068064e+02  9.07451365e+02  7.46887818e+02  5.57688500e+02  9.82022959e+02  
2.58213585e+03  626             4.10857462e+02  2.39507795e+02  8.84117838e+02  2.21191810e+01  9.14971139e+02  7.10137717e+02  
2.59446090e+03  319             1.18859703e+02  7.17168256e+02  4.54144159e+02  1.78421589e+02  1.35828063e+02  5.44141987e+02  
2.59503243e+03  778             2.13534605e+02  2.47992657e+02  6.20598576e+02  5.99090619e+02  9.27786303e+02  7.06330057e+02  
2.60499845e+03  590             3.82209390e+01  3.45584123e+02  5.59275889e+02  2.46221745e+02  2.20429813e+02  5.15156217e+02  
2.60988549e+03  401             1.16777089e+02  7.17167005e+02  5.65018433e+02  2.81565133e+02  4.59662000e-01  5.08602813e+02  
2.61133153e+03  242             2.18502394e+02  6.51771090e+01  7.81219165e+02  1.70628796e+02  8.19436671e+02  8.95425722e+02  
2.62394226e+03  325             9.26706626e+02  7.16984674e+02  2.94194033e+02  3.75937997e+02  4.46463000e-01  2.37986731e+02  
2.62446619e+03  360             4.10129213e+02  7.94331279e+02  7.99807868e+02  1.78410398e+02  9.78820180e+01  6.48925954e+02  
2.63327426e+03  807             8.42984476e+02  2.20741545e+02  6.36838084e+02  6.99289563e+02  2.35856969e+02  6.98967162e+02  
2.64317502e+03  835             6.88700928e+02  3.01550133e+02  6.76284339e+02  3.17123887e+02  4.89102457e+02  5.31669549e+02  
2.64504589e+03  532             9.66055560e+01  5.36055910e+02  5.24244188e+02  8.77992871e+02  2.57576160e+01  6.88664390e+02  
2.68368311e+03  840             9.74026706e+02  3.48817672e+02  8.02367468e+02  9.22033686e+02  2.61220777e+02  6.23269339e+02  
2.68624312e+03  477             8.49704833e+02  9.92230770e+01  7.98914455e+02  3.13082607e+02  2.61579835e+02  6.19057977e+02  
2.68840109e+03  599             1.62523958e+02  2.38137560e+02  8.01394600e+00  9.34666878e+02  9.12375836e+02  9.35043400e+00  
2.69876532e+03  824             1.82686654e+02  2.41998119e+02  8.89222494e+02  9.31870350e+02  3.76247493e+02  7.18071802e+02  
2.70709570e+03  999             5.17673498e+02  2.80653630e+02  9.83213024e+02  1.74622770e+01  4.85090890e+02  7.68084162e+02  
2.73782629e+03  717             1.53687936e+02  7.98929833e+02  6.11372025e+02  9.20287391e+02  9.10233468e+02  7.20555764e+02  
2.74494241e+03  686             1.46677260e+02  6.51174000e+02  5.97975477e+02  3.01731897e+02  5.06704347e+02  7.13146377e+02  
2.78320785e+03  600             4.19776960e+02  9.12304370e+02  8.28138702e+02  2.21468154e+02  5.18931453e+02  9.42267893e+02  
2.79008453e+03  560             3.32698685e+02  2.56068050e+02  8.39184981e+02  8.42607536e+02  9.86981226e+02  9.71747009e+02  
2.79679942e+03  102             2.64624556e+02  2.91057700e+02  7.29701849e+02  4.06089423e+02  9.88827500e+00  5.89685135e+02  
2.79857522e+03  748             2.53843577e+02  3.87269186e+02  5.15669055e+02  8.15921550e+02  5.40201409e+02  6.04095676e+02  
2.82491699e+03  859             9.83043270e+02  4.24795666e+02  6.87241867e+02  5.25613663e+02  5.15949614e+02  5.20040932e+02  
2.84360754e+03  587             5.69754733e+02  2.53720076e+02  9.05668055e+02  1.68156323e+02  6.51447943e+02  6.87966659e+02  
2.85362984e+03  178             3.92988037e+02  9.29216870e+01  9.08029827e+02  3.31513447e+02  8.74472028e+02  6.92555199e+02  
2.85825143e+03  459             1.30072480e+02  8.56721902e+02  1.87037238e+02  4.87978285e+02  2.92154513e+02  2.27163298e+02  
2.86727911e+03  489             4.87570351e+02  2.25623652e+02  8.85840709e+02  3.03829502e+02  8.76400500e+01  6.77214647e+02  
2.87911618e+03  687             2.92493902e+02  1.19997204e+02  5.93927193e+02  9.22015328e+02  8.95585582e+02  7.02326774e+02  
2.88662542e+03  383             5.32548418e+02  7.35028890e+02  2.07209992e+02  2.23666014e+02  5.20702066e+02  2.37987610e+02  
2.88900548e+03  911             1.07262647e+02  7.86230957e+02  7.13167954e+02  9.97519078e+02  7.08361560e+02  8.87177521e+02  
2.89341803e+03  659             5.31582824e+02  2.57125346e+02  9.30305014e+02  9.34986776e+02  9.31528994e+02  7.01382161e+02  
2.90535415e+03  981             9.91872021e+02  8.72233817e+02  1.88173286e+02  8.63862949e+02  3.18175223e+02  1.41340235e+02  
2.90679726e+03  643             1.95141092e+02  3.36222746e+02  2.78563237e+02  9.76125145e+02  2.71083130e+02  2.15872178e+02  
2.92531554e+03  568             3.21187698e+02  8.92062057e+02  4.89673231e+02  5.42019348e+02  6.58420368e+02  3.75362991e+02  
2.94122761e+03  372             1.79270582e+02  7.17169150e+02  7.16185556e+02  2.67258691e+02  2.98052327e+02  5.59159302e+02  
2.96043399e+03  713             9.83367937e+02  6.95694393e+02  7.53059277e+02  9.04225445e+02  4.92172272e+02  8.65045623e+02  
2.96829124e+03  762             3.22663140e+01  2.91981481e+02  3.54251524e+02  7.15482579e+02  6.67357122e+02  4.98909766e+02  
2.97393973e+03  968             8.97947354e+02  6.86934009e+02  4.93575781e+02  2.23423945e+02  5.76168127e+02  5.68831577e+02  
2.98875898e+03  309             3.54493518e+02  9.71783368e+02  3.14329714e+02  9.76465200e+01  7.99228154e+02  2.37985792e+02  
2.99267140e+03  740             1.82583732e+02  8.70536814e+02  7.13578868e+02  1.06813691e+02  8.91748179e+02  5.50900968e+02  
3.01146784e+03  990             6.01644438e+02  6.64561548e+02  5.49287353e+02  9.40387189e+02  2.93054870e+02  6.45493743e+02  
3.01243466e+03  738             6.79165800e+01  5.37676499e+02  6.39580312e+02  9.46686321e+02  2.27237327e+02  8.69529378e+02  
3.03945077e+03  233             8.49111767e+02  2.78604850e+01  7.98441433e+02  9.11468900e+00  9.09811170e+02  9.39116956e+02  
3.04862876e+03  810             1.66572018e+02  2.57266251e+02  5.74072072e+02  4.18435142e+02  9.15309275e+02  7.14706825e+02  
3.05484840e+03  720             4.86161090e+02  8.28680925e+02  4.90114334e+02  4.96917691e+02  9.15961588e+02  5.80070021e+02  
3.06039176e+03  333             1.79266797e+02  2.46081152e+02  6.44215463e+02  1.18851000e-01  4.60984000e-01  8.88199262e+02  
3.07201263e+03  542             8.36910232e+02  8.96824582e+02  4.07479789e+02  3.17906900e+00  3.05313894e+02  2.99495027e+02  
3.07609426e+03  173             1.24068913e+02  2.02968187e+02  9.60341640e+01  4.09213210e+02  7.23521820e+01  7.37926690e+01  
3.07887322e+03  960             9.59789316e+02  5.50419125e+02  7.77599498e+02  6.18866288e+02  7.17291350e+01  9.23894481e+02  
3.08322577e+03  229             2.78440303e+02  6.46069642e+02  5.47587728e+02  7.55948251e+02  3.85831930e+01  6.93299898e+02  
3.08990671e+03  174             4.83493785e+02  8.60805190e+01  1.77233535e+02  5.81682624e+02  6.78073728e+02  2.12709484e+02  
3.09075948e+03  565             1.40916074e+02  8.26460237e+02  5.49707803e+02  7.91098327e+02  4.20293300e+00  7.69809953e+02  
3.09212172e+03  880             7.39347659e+02  7.32694890e+01  8.18067971e+02  4.04556840e+02  8.14879722e+02  9.73221269e+02  
3.09705508e+03  155             5.11386824e+02  2.28610000e-02  2.65903641e+02  1.14243220e+01  6.15215000e-01  1.98893707e+02  
3.10232531e+03  812             6.85422199e+02  5.17947321e+02  8.89564803e+02  7.31450111e+02  8.31071725e+02  6.46799023e+02  
3.13903716e+03  507             2.04095742e+02  7.21921901e+02  7.75862918e+02  4.79676141e+02  6.81264779e+02  5.81338407e+02  
